,F01_P1.rtf,F02_P3.rtf,F03_P4.rtf,F04_P5.rtf,F05_P6.rtf,F06_P9.rtf,F07_P10.rtf,F08_P11.rtf,F09_P13.rtf,F10_P14.rtf,F11_P16.rtf,F12_P17.rtf,F13_P18.rtf,F14_P19.rtf,F15_P20.rtf,F16_P22.rtf,F17_P23.rtf,F18_P27.rtf,F19_P29.rtf,F20_P31.rtf,F21_P32.rtf,F22_P36.rtf,F23_P39.rtf,F24_P40.rtf,F25_P41.rtf,F26_P42.rtf,F27_P43.rtf,F28_P45.rtf,F29_P46.rtf,F30_P48.rtf,F31_P49.rtf,F32_P51.rtf,F33_P52.rtf,F34_P55.rtf,F35_P56.rtf,F36_P57.rtf,F37_P60.rtf,F38_P61.rtf,F39_P62.rtf,F40_P63.rtf,F41_P65.rtf,F42_P68.rtf,F43_P69.rtf,F44_P70.rtf,F45_P71.rtf,F46_P72.rtf
M01_P2.rtf,-0.010249519,0.039494011,-0.043019706,0.236013575,-0.010594486,0.007585974,0.063947602,0.26671508,0.05753343,0.310987073,0.038338158,0.18040002,0.033116949,-0.007059227,0.079966525,0.041083722,0.052709936,0.144453327,0.069944227,0.034361784,0.16111965,0.011848262,0.028650138,0.070593673,0.677898816,0.112304223,0.020322345,0.086249346,0.024968007,0.11102029,0.029989899,0.133782526,0.026372345,0.012286653,0.177199478,0.04821818,0.051997769,0.099642793,-0.001060403,0.128447832,0.083261248,0.03409876,0.080258363,0.299720222,0.044248788,0.104540388
M02_P7.rtf,0.050814993,0.025528314,0.110479829,0.068748073,0.124260212,0.103187034,0.061086396,0.058154218,0.202341401,0.141516935,0.12513612,0.108799786,0.17472997,0.074903154,-0.01170451,0.058686785,0.015942763,0.062523365,0.036874847,0.047227809,0.22241657,0.037237624,0.160278388,0.006235759,0.028762214,0.009106246,0.146460447,0.230121526,0.079792966,0.376686792,0.019608749,0.277439932,0.024528165,0.055977925,0.479130285,0.015689591,-0.062622872,0.101900644,0.120397358,0.095775959,0.065461697,0.027955612,0.212205994,0.063668384,0.032407513,0.095620035
M03_P12.rtf,0.605681644,0.083935595,0.384360995,0.383336369,0.145775799,0.07472234,0.075689261,0.49576292,0.671989546,0.437511553,0.083506444,0.199059332,0.736569657,0.300295093,0.537182852,0.001219966,0.144555618,0.376426963,0.106535002,0.096342174,0.524607832,0.345438698,0.634182206,0.272090571,0.253625502,0.422429775,0.482487608,0.480176537,0.19607857,0.363160297,0.130069954,0.40736875,0.358975146,0.17134485,0.38972826,0.069589198,0.284412186,0.161138866,0.63636315,0.188971362,0.417586169,0.195345996,0.434849462,0.364742982,0.1196244,0.340265753
M04_P15.rtf,0.166465651,-0.01154922,0.25378877,0.020241466,0.094770387,0.116809509,0.10410284,0.142592431,0.145419711,0.241825697,-0.038839635,0.049914101,0.212780417,-0.007435725,0.128489757,0.031149005,-0.013493622,0.141419194,0.02598573,0.03073152,0.223457656,-0.077402951,0.053802352,-0.043406458,0.011289333,0.193587674,0.329955542,0.120957242,0.021281609,0.176216851,0.019436468,0.229934162,-0.025601456,0.07555962,0.056459268,0.004646702,0.115916088,0.072026492,0.001556488,-0.016556131,-0.06363231,0.042135741,0.078410109,0.210558397,0.02212235,0.047606545
M05_P21.rtf,0.096039262,0.047855721,0.030430733,0.072650157,0.059153578,0.008095565,0.080515552,0.063000044,0.023353901,0.121402095,0.115638939,0.025094598,0.127523696,0.233078812,0.16944046,0.029827785,0.04187971,0.137080092,0.090974897,0.027511628,0.066046268,0.021186609,0.21462915,0.062190452,0.038954966,0.118655422,0.085373563,0.087984453,0.026394846,0.146672964,0.04415195,0.125645455,0.115946044,0.077982525,0.123701975,0.020206264,0.059219442,0.144671425,0.113850357,0.042369162,0.071740028,0.049867151,0.294963355,0.058039506,0.027539082,0.066786211
M06_P24.rtf,0.248986735,0.049069289,0.00411818,0.105794051,0.103457049,0.04760196,0.116830144,0.19920127,0.083134587,-0.005222995,0.034608672,0.068400485,0.245632393,0.036874881,0.193327492,0.067830209,0.147391577,0.856346851,0.059912355,0.040949955,0.212052516,0.156047848,0.470571284,0.033060227,0.090290673,0.434286499,0.039258213,0.343088916,0.013935495,0.027849285,0.091035718,0.139417172,0.267513164,0.060996366,0.053249639,0.124395272,-0.012595496,0.098145913,0.349038386,0.525238548,-0.025882082,0.151065267,0.447499961,0.159776808,0.023781888,0.214986721
M07_P25.rtf,0.203423802,0.178964801,0.38135926,0.337171136,0.37648299,0.092886211,0.25882875,0.453518022,0.643020442,0.508105551,0.035509351,0.007066935,0.422055563,0.492822101,0.419412706,-0.022575721,0.100019951,0.09992879,0.03283254,0.129496354,0.251003897,0.323771575,0.042142597,0.217870327,0.365692988,0.118159547,0.321489673,0.079079085,0.184697743,0.16960378,0.07971647,0.505894251,0.057751424,-0.004244708,0.490845667,-0.028812943,0.043675169,0.18218086,0.5589524,0.182783052,0.32044672,0.102451396,0.19261228,0.558265248,0.063152934,0.246993843
M08_P30.rtf,0.054048743,0.107988477,-0.061616486,0.131815171,0.004892549,0.07028417,0.143106143,0.165715434,0.041939533,0.266065741,-0.030192115,0.186774874,0.115226224,0.041192639,0.054759342,0.107723887,0.162869306,0.11641325,0.083168225,-0.021201596,0.162998636,0.136143386,-0.017330087,0.079730733,0.046071948,0.072228428,0.038702911,-0.082957017,0.022519354,0.181331169,0.022042255,0.215891094,-0.062637765,0.059123386,-0.036274359,0.044714048,0.059453252,0.160487874,0.048914866,-0.001275488,0.093963521,0.037815381,0.438066756,0.198272704,0.04937909,0.225928545
M09_P33.rtf,0.126316382,-0.067823091,0.260937796,0.208842293,-0.043604745,0.088654717,0.182898001,0.47627594,0.294281616,0.316646134,0.015265579,0.393354452,0.119444491,0.320242739,0.272185635,0.051211958,-0.031972317,0.128526092,0.029637636,0.225128536,0.144410584,0.238445568,0.210983133,0.034498972,0.173635622,0.137161048,0.036519121,0.185099934,0.095929683,-0.001903025,0.182174314,0.341276298,0.335351378,0.128250771,0.163769354,-0.025174558,-0.069892931,0.147146087,0.262311902,0.142809867,-0.053247578,0.075113094,0.396575725,0.15094981,0.047367836,0.086485246
M10_P34.rtf,0.212332112,0.051110003,0.035013161,0.266721597,0.305864755,-0.009474317,0.114372355,0.359848466,0.39829132,0.547260036,0.288809287,-0.065545521,0.12407196,0.228563927,0.173388966,0.0321084,0.077952488,0.189301987,0.141836816,0.161113692,0.616082837,0.260772815,0.209468861,0.073593799,0.262526365,0.023873214,0.206020003,0.216288991,0.115077106,0.440633352,0.078653219,0.371989644,0.409627879,0.191686351,0.204740753,0.017445722,0.777030057,0.281765716,0.398805806,0.135597028,0.011904394,0.011992418,0.171099793,0.270123563,0.203300655,0.355085522
