,M-File,F-File,M-Part,F-Part,Cosine,male_openness,male_extraversion,male_agreeableness,male_conscientiousness,male_emo_stab,fem_openness,fem_extraversion,fem_agreeableness,fem_conscientiousness,fem_emo_stab
104,M16_P66.rtf,F03_P4.rtf,66,4,0.36214039,34,29,35,38,35,26,47,42,42,27
105,M17_P73.rtf,F03_P4.rtf,73,4,0.091310384,34,45,32,32,25,26,47,42,42,27
106,M18_P74.rtf,F03_P4.rtf,74,4,0.193167629,44,36,39,29,22,26,47,42,42,27
107,M19_P76.rtf,F03_P4.rtf,76,4,0.092503727,37,31,24,24,31,26,47,42,42,27
108,M20_P77.rtf,F03_P4.rtf,77,4,0.080784768,36,50,34,30,33,26,47,42,42,27
109,M21_P78.rtf,F03_P4.rtf,78,4,0.114912799,44,21,32,22,18,26,47,42,42,27
110,M22_P79.rtf,F03_P4.rtf,79,4,0.002876074,47,25,37,28,22,26,47,42,42,27
111,M23_P80.rtf,F03_P4.rtf,80,4,0.101896041,41,46,41,39,44,26,47,42,42,27
112,M24_P81.rtf,F03_P4.rtf,81,4,-0.015768786,41,46,36,33,38,26,47,42,42,27
113,M25_P82.rtf,F03_P4.rtf,82,4,0.41486787,47,46,47,42,42,26,47,42,42,27
114,M26_P83.rtf,F03_P4.rtf,83,4,0.31366614,39,42,45,33,41,26,47,42,42,27
115,M27_P84.rtf,F03_P4.rtf,84,4,0.36045468,46,47,37,34,43,26,47,42,42,27
116,M28_P86.rtf,F03_P4.rtf,86,4,0.074477701,35,44,35,35,33,26,47,42,42,27
117,M29_P87.rtf,F03_P4.rtf,87,4,0.154128055,36,40,37,36,29,26,47,42,42,27
118,M30_P88.rtf,F03_P4.rtf,88,4,0.00560996,24,47,32,36,46,26,47,42,42,27
119,M31_P89.rtf,F03_P4.rtf,89,4,0.424364007,36,37,28,32,32,26,47,42,42,27
120,M32_P90.rtf,F03_P4.rtf,90,4,-0.030897124,23,35,38,38,32,26,47,42,42,27
121,M33_P91.rtf,F03_P4.rtf,91,4,0.1235073,25,42,34,46,45,26,47,42,42,27
122,M34_P92.rtf,F03_P4.rtf,92,4,0.313535436,48,46,36,44,37,26,47,42,42,27
123,M35_P93.rtf,F03_P4.rtf,93,4,0.107687553,35,24,37,22,33,26,47,42,42,27
124,M36_P94.rtf,F03_P4.rtf,94,4,0.205241845,41,33,28,39,42,26,47,42,42,27
125,M37_P96.rtf,F03_P4.rtf,96,4,-0.035774598,33,41,33,39,35,26,47,42,42,27
126,M38_P97.rtf,F03_P4.rtf,97,4,0.379817944,42,44,38,26,29,26,47,42,42,27
127,M39_P98.rtf,F03_P4.rtf,98,4,0.098680742,46,22,34,40,26,26,47,42,42,27
128,M40_P99.rtf,F03_P4.rtf,99,4,0.097499484,34,45,32,34,28,26,47,42,42,27
129,M41_P101.rtf,F03_P4.rtf,101,4,0.337964906,34,40,42,33,40,26,47,42,42,27
130,M42_P103.rtf,F03_P4.rtf,103,4,-0.007632783,33,36,30,32,25,26,47,42,42,27
131,M43_P104.rtf,F03_P4.rtf,104,4,0.167827712,35,44,40,41,35,26,47,42,42,27
132,M44_P105.rtf,F03_P4.rtf,105,4,0.126998065,30,37,44,35,36,26,47,42,42,27
133,M01_P2.rtf,F04_P5.rtf,2,5,0.236013575,30,33,41,43,22,26,46,35,32,19
134,M02_P7.rtf,F04_P5.rtf,7,5,0.068748073,40,27,32,25,15,26,46,35,32,19
135,M03_P12.rtf,F04_P5.rtf,12,5,0.383336369,39,33,31,30,30,26,46,35,32,19
136,M04_P15.rtf,F04_P5.rtf,15,5,0.020241466,39,35,31,39,43,26,46,35,32,19
137,M05_P21.rtf,F04_P5.rtf,21,5,0.072650157,42,44,44,49,22,26,46,35,32,19
138,M06_P24.rtf,F04_P5.rtf,24,5,0.105794051,37,37,31,31,32,26,46,35,32,19
139,M07_P25.rtf,F04_P5.rtf,25,5,0.337171136,41,43,43,43,47,26,46,35,32,19
140,M08_P30.rtf,F04_P5.rtf,30,5,0.131815171,29,39,39,37,34,26,46,35,32,19
141,M09_P33.rtf,F04_P5.rtf,33,5,0.208842293,34,36,33,40,28,26,46,35,32,19
142,M10_P34.rtf,F04_P5.rtf,34,5,0.266721597,39,28,34,39,33,26,46,35,32,19
143,M11_P35.rtf,F04_P5.rtf,35,5,0.367998547,42,41,32,41,34,26,46,35,32,19
144,M12_P37.rtf,F04_P5.rtf,37,5,0.246743955,35,39,35,41,34,26,46,35,32,19
145,M13_P38.rtf,F04_P5.rtf,38,5,0.071153371,32,26,33,30,28,26,46,35,32,19
146,M14_P50.rtf,F04_P5.rtf,50,5,0.457458149,48,28,43,36,25,26,46,35,32,19
147,M15_P58.rtf,F04_P5.rtf,58,5,0.196398783,31,36,36,33,27,26,46,35,32,19
148,M16_P66.rtf,F04_P5.rtf,66,5,0.432918997,34,29,35,38,35,26,46,35,32,19
149,M17_P73.rtf,F04_P5.rtf,73,5,0.240292031,34,45,32,32,25,26,46,35,32,19
150,M18_P74.rtf,F04_P5.rtf,74,5,0.265367314,44,36,39,29,22,26,46,35,32,19
151,M19_P76.rtf,F04_P5.rtf,76,5,0.057065027,37,31,24,24,31,26,46,35,32,19
152,M20_P77.rtf,F04_P5.rtf,77,5,0.041079969,36,50,34,30,33,26,46,35,32,19
153,M21_P78.rtf,F04_P5.rtf,78,5,0.218627653,44,21,32,22,18,26,46,35,32,19
154,M22_P79.rtf,F04_P5.rtf,79,5,0.182045384,47,25,37,28,22,26,46,35,32,19
155,M23_P80.rtf,F04_P5.rtf,80,5,0.277261311,41,46,41,39,44,26,46,35,32,19
156,M24_P81.rtf,F04_P5.rtf,81,5,0.182643588,41,46,36,33,38,26,46,35,32,19
157,M25_P82.rtf,F04_P5.rtf,82,5,0.16703678,47,46,47,42,42,26,46,35,32,19
158,M26_P83.rtf,F04_P5.rtf,83,5,0.340729258,39,42,45,33,41,26,46,35,32,19
159,M27_P84.rtf,F04_P5.rtf,84,5,0.393878258,46,47,37,34,43,26,46,35,32,19
160,M28_P86.rtf,F04_P5.rtf,86,5,0.153015828,35,44,35,35,33,26,46,35,32,19
161,M29_P87.rtf,F04_P5.rtf,87,5,-0.005348972,36,40,37,36,29,26,46,35,32,19
162,M30_P88.rtf,F04_P5.rtf,88,5,0.040006926,24,47,32,36,46,26,46,35,32,19
163,M31_P89.rtf,F04_P5.rtf,89,5,0.339832588,36,37,28,32,32,26,46,35,32,19
164,M32_P90.rtf,F04_P5.rtf,90,5,0.18539314,23,35,38,38,32,26,46,35,32,19
165,M33_P91.rtf,F04_P5.rtf,91,5,0.569484605,25,42,34,46,45,26,46,35,32,19
166,M34_P92.rtf,F04_P5.rtf,92,5,0.300826668,48,46,36,44,37,26,46,35,32,19
167,M35_P93.rtf,F04_P5.rtf,93,5,0.044790056,35,24,37,22,33,26,46,35,32,19
168,M36_P94.rtf,F04_P5.rtf,94,5,0.28623792,41,33,28,39,42,26,46,35,32,19
169,M37_P96.rtf,F04_P5.rtf,96,5,0.045037654,33,41,33,39,35,26,46,35,32,19
170,M38_P97.rtf,F04_P5.rtf,97,5,0.63502367,42,44,38,26,29,26,46,35,32,19
171,M39_P98.rtf,F04_P5.rtf,98,5,0.116997772,46,22,34,40,26,26,46,35,32,19
172,M40_P99.rtf,F04_P5.rtf,99,5,0.229496349,34,45,32,34,28,26,46,35,32,19
173,M41_P101.rtf,F04_P5.rtf,101,5,0.492212618,34,40,42,33,40,26,46,35,32,19
174,M42_P103.rtf,F04_P5.rtf,103,5,0.121756987,33,36,30,32,25,26,46,35,32,19
175,M43_P104.rtf,F04_P5.rtf,104,5,0.273091911,35,44,40,41,35,26,46,35,32,19
176,M44_P105.rtf,F04_P5.rtf,105,5,0.176218151,30,37,44,35,36,26,46,35,32,19
177,M01_P2.rtf,F05_P6.rtf,2,6,-0.010594486,30,33,41,43,22,41,45,36,35,24
178,M02_P7.rtf,F05_P6.rtf,7,6,0.124260212,40,27,32,25,15,41,45,36,35,24
179,M03_P12.rtf,F05_P6.rtf,12,6,0.145775799,39,33,31,30,30,41,45,36,35,24
180,M04_P15.rtf,F05_P6.rtf,15,6,0.094770387,39,35,31,39,43,41,45,36,35,24
181,M05_P21.rtf,F05_P6.rtf,21,6,0.059153578,42,44,44,49,22,41,45,36,35,24
182,M06_P24.rtf,F05_P6.rtf,24,6,0.103457049,37,37,31,31,32,41,45,36,35,24
183,M07_P25.rtf,F05_P6.rtf,25,6,0.37648299,41,43,43,43,47,41,45,36,35,24
184,M08_P30.rtf,F05_P6.rtf,30,6,0.004892549,29,39,39,37,34,41,45,36,35,24
185,M09_P33.rtf,F05_P6.rtf,33,6,-0.043604745,34,36,33,40,28,41,45,36,35,24
186,M10_P34.rtf,F05_P6.rtf,34,6,0.305864755,39,28,34,39,33,41,45,36,35,24
187,M11_P35.rtf,F05_P6.rtf,35,6,0.174929859,42,41,32,41,34,41,45,36,35,24
188,M12_P37.rtf,F05_P6.rtf,37,6,-0.136924433,35,39,35,41,34,41,45,36,35,24
189,M13_P38.rtf,F05_P6.rtf,38,6,0.097904887,32,26,33,30,28,41,45,36,35,24
190,M14_P50.rtf,F05_P6.rtf,50,6,0.224715822,48,28,43,36,25,41,45,36,35,24
191,M15_P58.rtf,F05_P6.rtf,58,6,0.056368037,31,36,36,33,27,41,45,36,35,24
192,M16_P66.rtf,F05_P6.rtf,66,6,0.228831362,34,29,35,38,35,41,45,36,35,24
193,M17_P73.rtf,F05_P6.rtf,73,6,0.217649934,34,45,32,32,25,41,45,36,35,24
194,M18_P74.rtf,F05_P6.rtf,74,6,-0.040448129,44,36,39,29,22,41,45,36,35,24
195,M19_P76.rtf,F05_P6.rtf,76,6,0.071781076,37,31,24,24,31,41,45,36,35,24
196,M20_P77.rtf,F05_P6.rtf,77,6,0.071041446,36,50,34,30,33,41,45,36,35,24
197,M21_P78.rtf,F05_P6.rtf,78,6,0.008199828,44,21,32,22,18,41,45,36,35,24
198,M22_P79.rtf,F05_P6.rtf,79,6,0.119579339,47,25,37,28,22,41,45,36,35,24
199,M23_P80.rtf,F05_P6.rtf,80,6,0.254875685,41,46,41,39,44,41,45,36,35,24
200,M24_P81.rtf,F05_P6.rtf,81,6,0.100165508,41,46,36,33,38,41,45,36,35,24
201,M25_P82.rtf,F05_P6.rtf,82,6,0.22590689,47,46,47,42,42,41,45,36,35,24
202,M26_P83.rtf,F05_P6.rtf,83,6,0.302760813,39,42,45,33,41,41,45,36,35,24
203,M27_P84.rtf,F05_P6.rtf,84,6,0.162243026,46,47,37,34,43,41,45,36,35,24
204,M28_P86.rtf,F05_P6.rtf,86,6,0.008270833,35,44,35,35,33,41,45,36,35,24
205,M29_P87.rtf,F05_P6.rtf,87,6,0.173723296,36,40,37,36,29,41,45,36,35,24
206,M30_P88.rtf,F05_P6.rtf,88,6,0.253430636,24,47,32,36,46,41,45,36,35,24
207,M31_P89.rtf,F05_P6.rtf,89,6,0.373790431,36,37,28,32,32,41,45,36,35,24
208,M32_P90.rtf,F05_P6.rtf,90,6,0.178222607,23,35,38,38,32,41,45,36,35,24
209,M33_P91.rtf,F05_P6.rtf,91,6,0.233640208,25,42,34,46,45,41,45,36,35,24
210,M34_P92.rtf,F05_P6.rtf,92,6,-0.057204864,48,46,36,44,37,41,45,36,35,24
211,M35_P93.rtf,F05_P6.rtf,93,6,0.016816925,35,24,37,22,33,41,45,36,35,24
212,M36_P94.rtf,F05_P6.rtf,94,6,0.018553393,41,33,28,39,42,41,45,36,35,24
213,M37_P96.rtf,F05_P6.rtf,96,6,0.103090011,33,41,33,39,35,41,45,36,35,24
214,M38_P97.rtf,F05_P6.rtf,97,6,0.131329586,42,44,38,26,29,41,45,36,35,24
215,M39_P98.rtf,F05_P6.rtf,98,6,0.078763799,46,22,34,40,26,41,45,36,35,24
216,M40_P99.rtf,F05_P6.rtf,99,6,0.303925583,34,45,32,34,28,41,45,36,35,24
217,M41_P101.rtf,F05_P6.rtf,101,6,0.315257226,34,40,42,33,40,41,45,36,35,24
218,M42_P103.rtf,F05_P6.rtf,103,6,0.246573657,33,36,30,32,25,41,45,36,35,24
219,M43_P104.rtf,F05_P6.rtf,104,6,0.133247414,35,44,40,41,35,41,45,36,35,24
220,M44_P105.rtf,F05_P6.rtf,105,6,-0.092366868,30,37,44,35,36,41,45,36,35,24
221,M01_P2.rtf,F06_P9.rtf,2,9,0.007585974,30,33,41,43,22,38,49,45,43,34
222,M02_P7.rtf,F06_P9.rtf,7,9,0.103187034,40,27,32,25,15,38,49,45,43,34
223,M03_P12.rtf,F06_P9.rtf,12,9,0.07472234,39,33,31,30,30,38,49,45,43,34
224,M04_P15.rtf,F06_P9.rtf,15,9,0.116809509,39,35,31,39,43,38,49,45,43,34
225,M05_P21.rtf,F06_P9.rtf,21,9,0.008095565,42,44,44,49,22,38,49,45,43,34
226,M06_P24.rtf,F06_P9.rtf,24,9,0.04760196,37,37,31,31,32,38,49,45,43,34
227,M07_P25.rtf,F06_P9.rtf,25,9,0.092886211,41,43,43,43,47,38,49,45,43,34
228,M08_P30.rtf,F06_P9.rtf,30,9,0.07028417,29,39,39,37,34,38,49,45,43,34
229,M09_P33.rtf,F06_P9.rtf,33,9,0.088654717,34,36,33,40,28,38,49,45,43,34
230,M10_P34.rtf,F06_P9.rtf,34,9,-0.009474317,39,28,34,39,33,38,49,45,43,34
231,M11_P35.rtf,F06_P9.rtf,35,9,-0.04332753,42,41,32,41,34,38,49,45,43,34
232,M12_P37.rtf,F06_P9.rtf,37,9,-0.004181099,35,39,35,41,34,38,49,45,43,34
233,M13_P38.rtf,F06_P9.rtf,38,9,0.003755647,32,26,33,30,28,38,49,45,43,34
234,M14_P50.rtf,F06_P9.rtf,50,9,0.019044854,48,28,43,36,25,38,49,45,43,34
235,M15_P58.rtf,F06_P9.rtf,58,9,0.073942287,31,36,36,33,27,38,49,45,43,34
236,M16_P66.rtf,F06_P9.rtf,66,9,0.127614738,34,29,35,38,35,38,49,45,43,34
237,M17_P73.rtf,F06_P9.rtf,73,9,0.176091982,34,45,32,32,25,38,49,45,43,34
238,M18_P74.rtf,F06_P9.rtf,74,9,0.090379366,44,36,39,29,22,38,49,45,43,34
239,M19_P76.rtf,F06_P9.rtf,76,9,0.009609158,37,31,24,24,31,38,49,45,43,34
240,M20_P77.rtf,F06_P9.rtf,77,9,0.00853709,36,50,34,30,33,38,49,45,43,34
241,M21_P78.rtf,F06_P9.rtf,78,9,0.078348392,44,21,32,22,18,38,49,45,43,34
242,M22_P79.rtf,F06_P9.rtf,79,9,0.009879902,47,25,37,28,22,38,49,45,43,34
243,M23_P80.rtf,F06_P9.rtf,80,9,0.119561533,41,46,41,39,44,38,49,45,43,34
244,M24_P81.rtf,F06_P9.rtf,81,9,0.893880486,41,46,36,33,38,38,49,45,43,34
245,M25_P82.rtf,F06_P9.rtf,82,9,0.333117168,47,46,47,42,42,38,49,45,43,34
246,M26_P83.rtf,F06_P9.rtf,83,9,0.236505505,39,42,45,33,41,38,49,45,43,34
247,M27_P84.rtf,F06_P9.rtf,84,9,0.131117954,46,47,37,34,43,38,49,45,43,34
248,M28_P86.rtf,F06_P9.rtf,86,9,0.052148965,35,44,35,35,33,38,49,45,43,34
249,M29_P87.rtf,F06_P9.rtf,87,9,0.088557852,36,40,37,36,29,38,49,45,43,34
250,M30_P88.rtf,F06_P9.rtf,88,9,0.091204758,24,47,32,36,46,38,49,45,43,34
251,M31_P89.rtf,F06_P9.rtf,89,9,0.124825038,36,37,28,32,32,38,49,45,43,34
252,M32_P90.rtf,F06_P9.rtf,90,9,0.097063783,23,35,38,38,32,38,49,45,43,34
253,M33_P91.rtf,F06_P9.rtf,91,9,-0.002868617,25,42,34,46,45,38,49,45,43,34
254,M34_P92.rtf,F06_P9.rtf,92,9,0.049010509,48,46,36,44,37,38,49,45,43,34
255,M35_P93.rtf,F06_P9.rtf,93,9,0.014189219,35,24,37,22,33,38,49,45,43,34
256,M36_P94.rtf,F06_P9.rtf,94,9,0.055535243,41,33,28,39,42,38,49,45,43,34
257,M37_P96.rtf,F06_P9.rtf,96,9,0.101457743,33,41,33,39,35,38,49,45,43,34
258,M38_P97.rtf,F06_P9.rtf,97,9,0.098087703,42,44,38,26,29,38,49,45,43,34
259,M39_P98.rtf,F06_P9.rtf,98,9,0.038623464,46,22,34,40,26,38,49,45,43,34
260,M40_P99.rtf,F06_P9.rtf,99,9,0.182240272,34,45,32,34,28,38,49,45,43,34
261,M41_P101.rtf,F06_P9.rtf,101,9,-0.064258228,34,40,42,33,40,38,49,45,43,34
262,M42_P103.rtf,F06_P9.rtf,103,9,-0.058932309,33,36,30,32,25,38,49,45,43,34
263,M43_P104.rtf,F06_P9.rtf,104,9,0.112177131,35,44,40,41,35,38,49,45,43,34
264,M44_P105.rtf,F06_P9.rtf,105,9,-0.017286232,30,37,44,35,36,38,49,45,43,34
