,M-File,F-File,M-Part,F-Part,Cosine,male_openness,male_extraversion,male_agreeableness,male_conscientiousness,male_emo_stab,fem_openness,fem_extraversion,fem_agreeableness,fem_conscientiousness,fem_emo_stab
1,M01_P2.rtf,F01_P1.rtf,2,1,-0.010249519,30,33,41,43,22,40,46,44,38,35
2,M02_P7.rtf,F01_P1.rtf,7,1,0.050814993,40,27,32,25,15,40,46,44,38,35
3,M03_P12.rtf,F01_P1.rtf,12,1,0.605681644,39,33,31,30,30,40,46,44,38,35
4,M04_P15.rtf,F01_P1.rtf,15,1,0.166465651,39,35,31,39,43,40,46,44,38,35
5,M05_P21.rtf,F01_P1.rtf,21,1,0.096039262,42,44,44,49,22,40,46,44,38,35
6,M06_P24.rtf,F01_P1.rtf,24,1,0.248986735,37,37,31,31,32,40,46,44,38,35
7,M07_P25.rtf,F01_P1.rtf,25,1,0.203423802,41,43,43,43,47,40,46,44,38,35
8,M08_P30.rtf,F01_P1.rtf,30,1,0.054048743,29,39,39,37,34,40,46,44,38,35
9,M09_P33.rtf,F01_P1.rtf,33,1,0.126316382,34,36,33,40,28,40,46,44,38,35
10,M10_P34.rtf,F01_P1.rtf,34,1,0.212332112,39,28,34,39,33,40,46,44,38,35
11,M11_P35.rtf,F01_P1.rtf,35,1,0.074917493,42,41,32,41,34,40,46,44,38,35
12,M12_P37.rtf,F01_P1.rtf,37,1,0.457634045,35,39,35,41,34,40,46,44,38,35
13,M13_P38.rtf,F01_P1.rtf,38,1,-0.011577568,32,26,33,30,28,40,46,44,38,35
14,M14_P50.rtf,F01_P1.rtf,50,1,0.093816467,48,28,43,36,25,40,46,44,38,35
15,M15_P58.rtf,F01_P1.rtf,58,1,-0.011168915,31,36,36,33,27,40,46,44,38,35
16,M16_P66.rtf,F01_P1.rtf,66,1,0.616192714,34,29,35,38,35,40,46,44,38,35
17,M17_P73.rtf,F01_P1.rtf,73,1,0.195863679,34,45,32,32,25,40,46,44,38,35
18,M18_P74.rtf,F01_P1.rtf,74,1,0.259703978,44,36,39,29,22,40,46,44,38,35
19,M19_P76.rtf,F01_P1.rtf,76,1,0.051341155,37,31,24,24,31,40,46,44,38,35
20,M20_P77.rtf,F01_P1.rtf,77,1,0.144826255,36,50,34,30,33,40,46,44,38,35
21,M21_P78.rtf,F01_P1.rtf,78,1,-0.137941869,44,21,32,22,18,40,46,44,38,35
22,M22_P79.rtf,F01_P1.rtf,79,1,0.044731276,47,25,37,28,22,40,46,44,38,35
23,M23_P80.rtf,F01_P1.rtf,80,1,0.294378629,41,46,41,39,44,40,46,44,38,35
24,M24_P81.rtf,F01_P1.rtf,81,1,0.038080319,41,46,36,33,38,40,46,44,38,35
25,M25_P82.rtf,F01_P1.rtf,82,1,0.055060091,47,46,47,42,42,40,46,44,38,35
26,M26_P83.rtf,F01_P1.rtf,83,1,0.227340514,39,42,45,33,41,40,46,44,38,35
27,M27_P84.rtf,F01_P1.rtf,84,1,0.179117695,46,47,37,34,43,40,46,44,38,35
28,M28_P86.rtf,F01_P1.rtf,86,1,0.107239878,35,44,35,35,33,40,46,44,38,35
29,M29_P87.rtf,F01_P1.rtf,87,1,-0.025657226,36,40,37,36,29,40,46,44,38,35
30,M30_P88.rtf,F01_P1.rtf,88,1,0.014022026,24,47,32,36,46,40,46,44,38,35
31,M31_P89.rtf,F01_P1.rtf,89,1,0.427535792,36,37,28,32,32,40,46,44,38,35
32,M32_P90.rtf,F01_P1.rtf,90,1,0.500798645,23,35,38,38,32,40,46,44,38,35
33,M33_P91.rtf,F01_P1.rtf,91,1,0.340705272,25,42,34,46,45,40,46,44,38,35
34,M34_P92.rtf,F01_P1.rtf,92,1,0.156072507,48,46,36,44,37,40,46,44,38,35
35,M35_P93.rtf,F01_P1.rtf,93,1,0.035397684,35,24,37,22,33,40,46,44,38,35
36,M36_P94.rtf,F01_P1.rtf,94,1,0.040058904,41,33,28,39,42,40,46,44,38,35
37,M37_P96.rtf,F01_P1.rtf,96,1,0.11481957,33,41,33,39,35,40,46,44,38,35
38,M38_P97.rtf,F01_P1.rtf,97,1,0.657516482,42,44,38,26,29,40,46,44,38,35
39,M39_P98.rtf,F01_P1.rtf,98,1,0.072929391,46,22,34,40,26,40,46,44,38,35
40,M40_P99.rtf,F01_P1.rtf,99,1,-0.007048006,34,45,32,34,28,40,46,44,38,35
41,M41_P101.rtf,F01_P1.rtf,101,1,0.046606534,34,40,42,33,40,40,46,44,38,35
42,M42_P103.rtf,F01_P1.rtf,103,1,-0.044781385,33,36,30,32,25,40,46,44,38,35
43,M43_P104.rtf,F01_P1.rtf,104,1,-0.042003788,35,44,40,41,35,40,46,44,38,35
44,M44_P105.rtf,F01_P1.rtf,105,1,0.056933106,30,37,44,35,36,40,46,44,38,35
45,M01_P2.rtf,F02_P3.rtf,2,3,0.039494011,30,33,41,43,22,43,47,34,49,20
46,M02_P7.rtf,F02_P3.rtf,7,3,0.025528314,40,27,32,25,15,43,47,34,49,20
47,M03_P12.rtf,F02_P3.rtf,12,3,0.083935595,39,33,31,30,30,43,47,34,49,20
48,M04_P15.rtf,F02_P3.rtf,15,3,-0.01154922,39,35,31,39,43,43,47,34,49,20
49,M05_P21.rtf,F02_P3.rtf,21,3,0.047855721,42,44,44,49,22,43,47,34,49,20
50,M06_P24.rtf,F02_P3.rtf,24,3,0.049069289,37,37,31,31,32,43,47,34,49,20
51,M07_P25.rtf,F02_P3.rtf,25,3,0.178964801,41,43,43,43,47,43,47,34,49,20
52,M08_P30.rtf,F02_P3.rtf,30,3,0.107988477,29,39,39,37,34,43,47,34,49,20
53,M09_P33.rtf,F02_P3.rtf,33,3,-0.067823091,34,36,33,40,28,43,47,34,49,20
54,M10_P34.rtf,F02_P3.rtf,34,3,0.051110003,39,28,34,39,33,43,47,34,49,20
55,M11_P35.rtf,F02_P3.rtf,35,3,0.302893232,42,41,32,41,34,43,47,34,49,20
56,M12_P37.rtf,F02_P3.rtf,37,3,0.080619613,35,39,35,41,34,43,47,34,49,20
57,M13_P38.rtf,F02_P3.rtf,38,3,0.039145825,32,26,33,30,28,43,47,34,49,20
58,M14_P50.rtf,F02_P3.rtf,50,3,0.191183866,48,28,43,36,25,43,47,34,49,20
59,M15_P58.rtf,F02_P3.rtf,58,3,0.067951975,31,36,36,33,27,43,47,34,49,20
60,M16_P66.rtf,F02_P3.rtf,66,3,0.17050897,34,29,35,38,35,43,47,34,49,20
61,M17_P73.rtf,F02_P3.rtf,73,3,0.158223451,34,45,32,32,25,43,47,34,49,20
62,M18_P74.rtf,F02_P3.rtf,74,3,0.018042048,44,36,39,29,22,43,47,34,49,20
63,M19_P76.rtf,F02_P3.rtf,76,3,0.058837351,37,31,24,24,31,43,47,34,49,20
64,M20_P77.rtf,F02_P3.rtf,77,3,0.023988,36,50,34,30,33,43,47,34,49,20
65,M21_P78.rtf,F02_P3.rtf,78,3,0.124098763,44,21,32,22,18,43,47,34,49,20
66,M22_P79.rtf,F02_P3.rtf,79,3,0.096734048,47,25,37,28,22,43,47,34,49,20
67,M23_P80.rtf,F02_P3.rtf,80,3,0.249940899,41,46,41,39,44,43,47,34,49,20
68,M24_P81.rtf,F02_P3.rtf,81,3,0.04703977,41,46,36,33,38,43,47,34,49,20
69,M25_P82.rtf,F02_P3.rtf,82,3,0.00542114,47,46,47,42,42,43,47,34,49,20
70,M26_P83.rtf,F02_P3.rtf,83,3,0.189374152,39,42,45,33,41,43,47,34,49,20
71,M27_P84.rtf,F02_P3.rtf,84,3,0.172029363,46,47,37,34,43,43,47,34,49,20
72,M28_P86.rtf,F02_P3.rtf,86,3,0.022424079,35,44,35,35,33,43,47,34,49,20
73,M29_P87.rtf,F02_P3.rtf,87,3,0.045377009,36,40,37,36,29,43,47,34,49,20
74,M30_P88.rtf,F02_P3.rtf,88,3,0.335907328,24,47,32,36,46,43,47,34,49,20
75,M31_P89.rtf,F02_P3.rtf,89,3,0.236402551,36,37,28,32,32,43,47,34,49,20
76,M32_P90.rtf,F02_P3.rtf,90,3,0.000517543,23,35,38,38,32,43,47,34,49,20
77,M33_P91.rtf,F02_P3.rtf,91,3,-0.072133049,25,42,34,46,45,43,47,34,49,20
78,M34_P92.rtf,F02_P3.rtf,92,3,-0.027006742,48,46,36,44,37,43,47,34,49,20
79,M35_P93.rtf,F02_P3.rtf,93,3,0.017150837,35,24,37,22,33,43,47,34,49,20
80,M36_P94.rtf,F02_P3.rtf,94,3,0.011008269,41,33,28,39,42,43,47,34,49,20
81,M37_P96.rtf,F02_P3.rtf,96,3,0.079170616,33,41,33,39,35,43,47,34,49,20
82,M38_P97.rtf,F02_P3.rtf,97,3,0.147519393,42,44,38,26,29,43,47,34,49,20
83,M39_P98.rtf,F02_P3.rtf,98,3,-0.026654075,46,22,34,40,26,43,47,34,49,20
84,M40_P99.rtf,F02_P3.rtf,99,3,-0.021640464,34,45,32,34,28,43,47,34,49,20
85,M41_P101.rtf,F02_P3.rtf,101,3,0.18235345,34,40,42,33,40,43,47,34,49,20
86,M42_P103.rtf,F02_P3.rtf,103,3,0.032873989,33,36,30,32,25,43,47,34,49,20
87,M43_P104.rtf,F02_P3.rtf,104,3,0.029973986,35,44,40,41,35,43,47,34,49,20
88,M44_P105.rtf,F02_P3.rtf,105,3,0.069091483,30,37,44,35,36,43,47,34,49,20
89,M01_P2.rtf,F03_P4.rtf,2,4,-0.043019706,30,33,41,43,22,26,47,42,42,27
90,M02_P7.rtf,F03_P4.rtf,7,4,0.110479829,40,27,32,25,15,26,47,42,42,27
91,M03_P12.rtf,F03_P4.rtf,12,4,0.384360995,39,33,31,30,30,26,47,42,42,27
92,M04_P15.rtf,F03_P4.rtf,15,4,0.25378877,39,35,31,39,43,26,47,42,42,27
93,M05_P21.rtf,F03_P4.rtf,21,4,0.030430733,42,44,44,49,22,26,47,42,42,27
94,M06_P24.rtf,F03_P4.rtf,24,4,0.00411818,37,37,31,31,32,26,47,42,42,27
95,M07_P25.rtf,F03_P4.rtf,25,4,0.38135926,41,43,43,43,47,26,47,42,42,27
96,M08_P30.rtf,F03_P4.rtf,30,4,-0.061616486,29,39,39,37,34,26,47,42,42,27
97,M09_P33.rtf,F03_P4.rtf,33,4,0.260937796,34,36,33,40,28,26,47,42,42,27
98,M10_P34.rtf,F03_P4.rtf,34,4,0.035013161,39,28,34,39,33,26,47,42,42,27
99,M11_P35.rtf,F03_P4.rtf,35,4,0.311403438,42,41,32,41,34,26,47,42,42,27
100,M12_P37.rtf,F03_P4.rtf,37,4,0.425157722,35,39,35,41,34,26,47,42,42,27
101,M13_P38.rtf,F03_P4.rtf,38,4,0.123742796,32,26,33,30,28,26,47,42,42,27
102,M14_P50.rtf,F03_P4.rtf,50,4,0.21596484,48,28,43,36,25,26,47,42,42,27
103,M15_P58.rtf,F03_P4.rtf,58,4,0.042607778,31,36,36,33,27,26,47,42,42,27
