Participant Number,Name,Gender,What is your Age?,open_1,extra_1,agree_1,consci_1,emo_1,open_2,extra_2,agree_2,consci_2,emo_2,open_3,extra_3,agree_3,consci_3,emo_3,open_4,extra_4,agree_4,consci_4,emo_4,open_5,extra_5,agree_5,consci_5,emo_5,open_6,extra_6,agree_6,consci_6,emo_6,open_7,extra_7,agree_7,consci_7,emo_7,open_8,extra_8,agree_8,consci_8,emo_8,open_9,extra_9,agree_9,consci_9,emo_9,open_10,extra_10,agree_10,consci_10,emo_10
56,156,1,18,4,5,2,5,3,5,4,5,1,5,2,5,3,5,4,2,5,5,2,5,4,2,5,4,5,2,5,4,5,4,2,2,5,5,5,4,5,4,4,4,5,5,5,4,3,1,5,4,4,4
57,157,1,18,4,5,5,2,3,5,4,4,5,2,3,5,5,4,5,5,5,2,2,5,1,2,2,5,5,5,1,5,4,5,4,3,2,4,1,3,4,5,2,4,4,5,2,5,3,1,5,5,5,5
58,158,2,19,4,3,2,4,4,5,3,4,2,4,3,3,1,5,4,3,5,4,3,5,2,3,3,3,3,2,4,2,3,3,1,4,4,4,4,4,4,3,3,3,4,4,3,5,3,1,5,2,3,4
59,159,1,18,4,5,3,5,3,5,2,4,3,4,4,4,2,5,3,4,4,5,3,3,4,2,4,3,4,5,5,4,5,4,1,2,4,5,4,5,4,4,5,4,1,4,4,2,2,5,5,2,2,2
60,160,1,19,2,5,4,2,2,5,5,4,4,2,2,2,2,2,5,2,1,5,4,5,2,1,4,5,2,5,2,4,2,4,1,5,5,4,1,4,2,4,2,5,4,5,5,4,5,2,5,1,2,5
61,161,1,18,4,5,3,4,1,5,1,5,2,5,4,2,1,5,3,3,5,4,1,2,3,1,3,1,5,5,5,3,5,1,1,1,5,4,5,5,5,2,5,1,1,2,5,1,4,3,5,5,1,1
62,162,1,18,3,4,2,4,4,4,2,5,3,2,4,4,3,5,4,3,3,1,2,4,3,2,2,4,2,4,3,4,4,4,2,2,3,4,2,3,3,4,4,4,4,5,4,2,3,2,4,2,4,4
63,163,1,19,5,5,2,5,4,5,1,5,1,2,3,3,1,5,5,5,5,4,1,5,5,1,5,4,2,4,5,3,5,3,1,1,5,5,3,5,5,2,5,5,3,4,5,2,2,2,4,1,1,4
64,164,1,20,4,5,2,3,5,4,4,5,2,1,3,4,2,5,5,3,4,2,1,5,4,2,2,1,2,3,3,4,3,2,2,3,4,4,3,4,3,2,5,4,4,3,4,2,3,3,4,2,2,4
65,165,1,18,3,2,2,4,4,4,2,4,2,2,4,4,2,5,4,3,4,3,1,4,4,2,5,1,4,4,4,2,5,3,3,2,4,4,2,4,4,3,5,3,4,4,4,3,2,1,4,2,2,3
66,166,2,19,4,2,2,5,3,4,4,4,2,5,4,4,2,5,2,4,3,4,3,2,3,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,4,2,4,4,4,2,4,4,4,2,4,2
67,167,1,19,4,4,5,4,5,5,4,4,4,1,3,4,5,4,5,5,5,2,1,5,4,4,1,2,1,3,1,5,4,5,2,4,4,4,2,4,2,4,5,5,4,3,2,4,5,2,3,4,4,5
68,168,1,19,4,4,5,5,2,5,4,2,5,2,3,3,2,5,5,5,4,2,5,5,5,4,2,3,1,5,2,5,4,4,1,4,3,5,1,5,1,4,5,5,1,2,2,4,4,5,4,4,5,4
69,169,1,19,4,4,2,5,2,4,1,5,2,3,4,4,1,5,4,5,4,4,1,4,4,2,5,2,4,4,5,2,4,4,1,1,5,5,2,5,4,2,4,4,4,5,4,3,2,4,5,2,1,2
70,170,1,18,4,5,2,4,2,5,1,5,3,3,3,4,2,4,4,5,4,4,4,5,5,1,3,4,3,5,5,2,4,3,1,1,5,4,1,4,5,1,4,4,1,5,5,4,2,5,5,2,4,2
71,171,1,18,3,4,4,5,5,5,5,5,2,5,5,4,1,5,3,4,4,5,2,5,4,2,5,2,5,5,4,2,5,4,1,5,5,5,5,5,2,1,5,4,2,4,5,4,2,5,5,2,5,2
72,172,1,18,4,5,4,5,3,5,1,4,2,4,4,5,2,5,4,4,5,4,2,3,4,1,5,4,3,3,5,5,4,4,1,1,5,5,5,4,5,2,4,4,4,5,5,4,4,3,5,4,4,4
73,173,2,18,4,5,4,4,2,4,2,4,3,4,4,4,2,4,5,5,4,4,2,4,4,1,4,4,3,2,4,4,4,4,2,1,2,4,3,4,5,4,4,4,4,4,4,5,4,1,5,4,4,4
74,174,2,25,5,4,3,5,4,5,3,5,4,3,4,4,1,5,5,5,5,5,4,5,4,4,4,4,4,5,4,4,4,4,1,3,4,4,3,4,3,4,2,4,2,4,5,4,4,3,4,2,5,4
75,175,2,18,4,5,3,4,3,4,2,5,3,3,4,5,3,4,4,4,4,4,3,4,5,1,4,4,3,4,5,2,3,3,4,1,5,4,4,4,3,2,4,3,2,4,4,3,2,4,5,3,4,4
76,176,2,19,5,3,5,4,1,5,1,3,5,5,5,4,3,4,5,5,5,3,4,5,5,5,1,4,4,3,5,5,3,1,5,5,4,4,5,5,1,4,1,5,5,3,1,4,5,2,3,5,5,3
77,177,2,22,5,5,4,4,2,5,1,5,4,2,4,5,4,4,2,5,5,2,4,5,5,1,4,4,4,3,5,4,4,4,5,1,4,5,5,4,5,2,4,2,4,5,5,5,1,2,5,4,4,4
78,178,2,20,3,4,4,2,5,4,5,3,5,3,4,2,3,4,5,5,2,3,4,4,5,5,4,5,3,5,2,4,3,4,1,5,5,3,1,4,1,3,2,4,1,4,3,3,5,4,3,4,5,4
79,179,2,20,5,4,2,4,5,5,5,5,2,2,4,3,1,4,4,5,3,3,4,4,5,5,4,5,2,5,3,4,3,3,1,5,5,2,2,4,2,2,3,4,1,3,3,4,4,4,4,2,3,2
80,180,2,18,5,5,2,4,1,4,1,5,2,5,5,4,1,4,1,4,5,4,2,3,5,2,4,2,5,4,5,2,4,2,3,2,5,3,4,5,5,2,4,2,2,5,4,2,2,2,4,2,2,1
81,181,2,18,5,5,2,3,1,4,1,4,2,4,3,5,3,4,3,4,4,4,2,2,5,2,4,3,4,4,4,2,3,3,3,1,4,4,4,3,4,2,3,2,1,5,5,3,2,5,5,4,4,3
82,182,2,18,5,5,3,5,1,5,2,5,2,5,3,5,2,5,2,5,5,5,2,2,5,1,5,5,5,5,5,1,5,2,1,2,5,5,5,5,3,1,5,3,1,5,5,2,3,4,5,1,2,2
83,183,2,19,5,5,1,4,1,5,2,5,3,4,4,4,1,5,3,5,4,5,3,4,5,3,5,4,2,2,4,2,4,1,3,2,5,5,5,5,4,1,4,1,2,5,5,4,1,1,5,1,5,1
84,184,2,18,5,5,1,4,1,5,2,5,3,4,5,5,2,4,2,4,5,4,3,2,4,2,4,2,4,4,4,2,4,2,1,1,4,4,4,5,5,2,3,2,1,5,5,3,1,4,5,4,4,1
85,185,2,18,5,5,5,5,1,4,2,3,4,4,5,5,5,4,4,3,5,4,4,5,5,1,4,1,5,3,5,5,5,4,2,1,4,3,4,4,4,5,5,4,5,5,5,4,4,1,5,5,5,4
86,186,2,18,4,4,3,3,1,4,1,4,2,3,3,4,1,4,3,4,4,2,2,4,4,1,3,3,4,3,4,3,4,3,3,1,5,4,4,4,5,3,3,3,3,3,4,3,3,3,5,3,3,3
87,187,2,21,4,3,3,4,2,5,3,5,3,4,3,4,3,5,5,5,5,5,2,3,4,3,4,3,3,4,5,2,4,3,3,3,4,4,4,4,4,4,4,5,5,5,4,4,3,3,5,3,3,3
88,188,2,19,3,5,4,4,1,4,1,4,4,5,2,5,4,5,2,4,4,4,2,2,1,1,4,2,5,2,5,2,5,2,4,1,2,4,5,3,4,4,4,1,4,4,4,4,1,1,5,4,4,2
89,189,2,19,3,3,1,4,1,4,1,3,3,2,3,5,4,4,4,4,3,3,2,1,3,2,2,3,4,3,2,4,3,4,1,2,5,4,4,4,3,3,4,3,3,3,5,4,3,4,5,4,5,4
90,190,2,19,2,3,4,4,2,4,2,5,2,3,2,4,2,5,3,2,4,3,2,4,3,4,3,2,4,2,4,2,4,2,3,3,5,4,3,2,3,2,4,3,5,4,3,3,4,2,4,3,4,2
91,191,2,18,4,4,4,5,1,3,2,2,1,5,3,4,2,5,1,4,5,1,3,2,3,2,3,1,5,1,5,3,3,1,5,2,5,5,5,4,3,1,5,4,5,4,4,1,2,1,5,3,1,1
92,192,2,20,4,5,3,5,2,5,2,4,2,4,4,5,1,5,4,5,5,3,2,4,5,2,4,2,5,5,5,3,5,2,1,2,4,5,5,5,4,2,5,2,1,5,4,2,3,5,5,4,3,2
93,193,2,20,4,2,2,2,5,4,4,4,2,5,4,2,2,2,2,3,3,4,4,2,3,4,5,4,3,4,2,3,2,4,5,4,4,2,4,4,1,2,2,3,2,4,3,4,4,4,4,2,4,1
94,194,2,20,4,2,4,4,2,5,4,2,4,5,4,4,2,5,2,4,4,2,1,2,4,4,4,2,5,4,4,4,4,2,1,2,4,4,5,5,2,4,4,2,4,5,2,3,1,4,4,4,2,4
95,195,2,19,3,3,2,4,2,3,5,4,3,4,4,3,4,2,2,4,3,2,3,3,2,3,3,2,4,4,2,4,4,4,4,3,3,2,4,4,3,4,2,4,4,2,3,3,3,4,4,2,3,3
96,196,2,18,4,3,4,4,1,4,2,3,2,4,3,3,2,4,4,3,4,3,2,3,3,2,4,2,4,3,5,3,5,3,2,2,3,4,5,4,4,3,5,2,4,5,4,3,4,3,5,4,4,3
97,197,2,20,4,5,5,4,3,5,2,4,5,5,3,4,2,4,3,5,5,4,5,4,3,1,4,4,5,5,4,3,4,5,2,2,5,4,4,5,4,4,3,4,2,4,5,4,4,4,5,4,5,4
98,198,2,18,5,2,5,5,3,4,4,5,4,2,4,1,4,5,5,4,5,2,2,5,5,5,2,4,5,5,4,3,5,4,2,4,5,5,5,5,2,1,4,5,1,1,4,3,2,5,2,5,1,4
99,199,2,19,3,4,2,4,3,5,1,4,4,2,3,4,4,5,2,3,4,4,2,4,4,1,3,2,2,3,5,3,2,3,2,2,3,4,3,3,4,3,4,2,3,5,4,5,3,3,5,2,2,4
100,200,2,18,4,4,3,5,1,4,2,5,4,4,3,5,3,5,4,4,5,3,4,2,2,4,4,2,5,1,4,3,4,2,4,2,4,4,5,3,2,4,4,2,5,5,5,2,3,2,4,2,5,4
101,201,2,18,5,5,2,5,3,4,3,5,3,5,3,4,1,4,2,3,4,4,5,1,3,3,4,2,5,3,4,2,4,2,2,2,5,4,4,3,4,3,4,2,3,4,5,4,3,3,5,1,4,3
102,202,2,19,3,3,2,4,2,4,2,4,2,4,3,4,2,4,2,4,5,4,3,2,3,4,4,2,4,2,4,2,4,2,2,4,4,4,4,4,4,2,4,2,4,4,4,4,2,2,4,3,4,2
103,203,2,20,3,5,4,4,2,4,3,3,4,3,4,4,4,5,5,3,2,3,4,4,3,2,4,3,4,2,3,4,4,4,2,3,2,4,4,4,3,4,5,5,3,5,4,4,4,3,4,2,5,4
104,204,2,19,4,4,2,4,1,5,1,5,1,3,3,4,4,5,3,4,5,5,1,2,4,3,3,2,1,1,4,1,1,1,2,1,5,5,5,4,5,3,5,4,1,4,5,3,3,1,5,1,2,2
105,205,2,20,4,3,5,4,2,3,2,4,3,4,3,4,1,5,2,2,4,4,2,4,3,3,4,3,5,3,4,1,4,3,1,2,5,4,4,4,3,3,4,4,4,3,4,4,2,1,5,1,4,2
