Participant Number,Name,Gender,What is your Age?,open_1,extra_1,agree_1,consci_1,emo_1,open_2,extra_2,agree_2,consci_2,emo_2,open_3,extra_3,agree_3,consci_3,emo_3,open_4,extra_4,agree_4,consci_4,emo_4,open_5,extra_5,agree_5,consci_5,emo_5,open_6,extra_6,agree_6,consci_6,emo_6,open_7,extra_7,agree_7,consci_7,emo_7,open_8,extra_8,agree_8,consci_8,emo_8,open_9,extra_9,agree_9,consci_9,emo_9,open_10,extra_10,agree_10,consci_10,emo_10
1,101,,19,4,5,2,4,1,4,2,5,2,4,4,4,1,5,4,4,5,4,4,2,4,2,4,2,4,4,5,1,5,2,2,2,5,4,4,4,5,1,4,4,2,5,5,2,2,4,5,2,4,4
2,102,2,19,4,3,2,5,4,2,2,4,2,2,4,3,2,5,5,2,3,2,1,5,3,4,5,2,2,2,3,1,3,2,1,2,5,5,4,4,3,1,5,5,4,3,4,3,3,2,5,1,2,4
3,103,1,18,4,5,3,5,4,5,1,4,1,2,4,5,3,5,5,4,5,2,1,5,5,1,4,1,3,5,4,4,5,4,1,1,5,5,1,5,4,3,5,4,3,5,5,2,2,3,4,3,1,4
4,104,1,18,4,5,3,5,2,4,1,5,2,4,2,4,2,5,4,2,5,4,1,5,3,1,4,3,4,2,4,1,5,4,4,1,5,4,4,2,5,3,5,5,2,4,5,2,4,1,5,2,4,3
5,105,1,18,4,5,3,4,1,4,2,4,3,1,2,4,4,5,5,3,4,5,3,5,2,1,4,3,2,1,4,3,4,5,2,1,5,4,2,3,5,4,2,4,5,5,5,4,4,2,5,4,4,4
6,106,1,19,4,5,3,3,4,5,1,5,2,3,4,3,2,5,4,5,5,4,4,5,5,1,2,2,2,4,4,2,4,5,1,1,5,5,4,4,5,2,3,3,2,3,4,5,2,1,5,5,2,4
7,107,2,18,3,5,4,5,5,4,5,5,4,2,2,2,3,4,4,5,4,2,5,5,4,5,5,5,2,5,3,5,4,5,1,5,4,4,2,4,2,4,1,5,2,4,4,5,4,4,4,4,4,5
8,108,1,18,4,4,4,4,2,3,4,4,1,2,2,2,2,4,4,2,4,4,2,4,2,4,4,2,3,3,4,2,4,2,3,2,4,4,2,2,3,2,5,5,4,2,4,3,4,2,4,2,2,3
9,109,1,19,5,5,2,5,3,4,1,5,1,4,3,5,2,5,3,4,5,4,4,3,3,1,5,3,5,4,4,1,5,4,2,1,5,5,5,5,5,1,5,4,3,5,5,2,3,3,5,1,2,2
10,110,1,18,5,4,4,2,3,5,3,4,4,4,4,3,2,4,4,5,5,4,2,4,5,2,5,3,1,5,4,3,3,4,1,2,4,4,4,4,4,2,4,4,5,4,4,4,3,4,5,2,4,3
11,111,1,19,3,4,3,5,1,4,1,4,2,5,4,4,2,5,2,2,4,1,1,3,2,1,4,2,5,1,5,2,4,3,5,1,4,4,5,5,5,2,5,1,5,4,5,2,2,1,4,2,3,5
12,112,2,19,5,3,4,3,4,4,5,3,2,4,4,3,3,3,3,5,5,3,4,3,4,4,3,5,3,4,5,3,5,4,3,4,4,4,5,4,4,5,4,4,5,4,5,3,3,5,4,4,5,3
13,113,1,18,3,5,1,4,1,4,3,4,2,4,3,5,2,5,4,2,3,3,2,4,2,1,4,1,4,2,4,3,4,5,1,2,4,4,3,4,4,2,4,4,1,4,4,4,2,4,4,2,3,3
14,114,1,20,5,5,4,4,4,4,2,4,2,4,4,4,1,5,5,5,5,4,1,5,5,2,4,3,3,5,4,2,4,4,3,2,4,4,3,2,4,2,5,5,1,5,5,4,4,2,4,4,4,5
15,115,2,18,5,3,4,4,1,4,3,3,4,5,4,4,5,5,1,5,4,4,4,1,4,4,3,2,5,4,4,2,5,1,2,2,4,5,5,5,3,4,5,2,4,4,4,1,4,2,4,4,4,4
16,116,1,18,5,3,1,4,1,5,3,5,4,2,3,5,1,4,3,3,2,4,2,4,3,3,4,1,4,4,4,1,4,3,1,3,4,4,3,3,3,1,4,5,2,5,4,2,2,3,5,1,2,1
17,117,1,18,5,4,3,5,1,4,4,5,2,4,3,4,2,5,4,5,5,4,3,3,5,3,4,2,4,5,4,2,5,3,2,4,5,5,4,5,3,1,5,3,1,4,5,3,2,3,5,4,2,3
18,118,1,18,4,5,3,3,3,4,3,5,2,5,3,3,1,5,4,5,5,5,3,4,3,1,4,4,5,2,5,2,3,3,1,1,5,4,4,4,5,3,2,2,3,3,5,3,3,2,5,1,3,2
19,119,1,18,4,4,3,5,2,5,2,4,4,3,3,5,2,5,4,5,5,3,4,4,5,2,5,5,2,5,5,4,5,3,3,2,4,5,5,5,5,2,5,4,2,5,4,5,4,3,5,3,2,3
20,120,1,18,5,5,3,3,1,4,2,5,3,3,3,5,3,5,5,5,5,5,1,5,5,2,5,2,3,2,5,2,3,2,2,3,4,4,3,4,4,3,4,4,2,4,4,3,2,2,4,2,3,4
21,121,2,19,4,5,5,5,4,4,3,5,1,2,4,4,1,5,4,4,5,5,1,5,4,1,4,1,3,5,3,2,5,3,1,1,5,5,4,3,4,2,5,4,1,5,4,2,5,4,5,3,1,4
22,122,1,19,4,3,3,5,4,5,5,4,1,3,3,2,2,5,4,2,4,4,2,4,3,5,2,1,4,2,4,4,5,2,1,4,4,5,4,5,1,4,4,4,4,4,3,1,3,1,2,2,1,2
23,123,1,18,5,5,2,5,1,4,3,5,1,2,4,4,2,5,4,4,5,5,1,3,5,1,3,2,2,3,5,3,5,4,3,2,5,5,3,4,5,3,5,4,3,4,5,3,4,1,5,1,3,4
24,124,2,20,4,4,4,5,2,5,2,4,4,4,2,4,5,5,4,5,2,2,2,4,5,2,4,4,4,1,4,2,2,4,1,4,4,4,4,4,4,4,5,2,2,4,4,5,2,2,5,4,5,4
25,125,2,18,5,4,2,5,1,5,2,4,2,5,2,5,1,5,1,5,5,5,2,1,5,4,4,2,5,5,5,2,5,1,2,2,5,5,5,4,4,1,4,1,2,5,5,1,1,2,5,2,4,4
26,126,2,18,3,3,3,4,3,4,3,4,3,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,2,3,4,4,4,4,3,2,4,3,2,4,4,3,4,3,4,3,3,2
27,127,1,18,5,5,3,5,4,5,2,4,3,2,4,4,4,5,5,5,5,2,3,5,5,2,2,2,4,5,4,5,4,5,2,2,5,5,3,3,3,4,4,5,3,4,4,3,3,4,5,3,3,5
28,128,2,18,4,3,3,4,5,4,5,4,4,1,2,2,3,2,5,4,3,4,4,5,4,5,4,5,1,4,2,5,3,5,2,5,3,3,1,4,2,4,2,5,1,3,3,4,5,4,4,3,4,5
29,129,1,18,2,5,2,5,2,5,1,4,5,2,5,4,2,5,5,3,4,4,5,5,1,1,4,5,3,1,5,2,5,4,5,1,5,5,2,5,5,2,3,3,5,5,5,5,2,2,5,2,5,3
30,130,2,19,4,4,4,3,2,4,4,5,4,5,3,5,3,5,2,4,5,5,3,4,4,4,4,3,5,1,5,3,5,5,4,4,5,5,5,4,4,3,4,5,5,5,4,2,1,2,5,3,3,4
31,131,1,18,4,4,4,4,2,4,1,4,2,4,3,4,3,4,2,3,4,3,2,3,3,1,3,2,3,2,4,2,3,3,2,1,4,4,3,3,5,3,4,2,2,4,4,3,3,3,4,2,2,3
32,132,1,18,5,5,4,4,1,3,3,4,3,4,3,4,2,4,3,3,4,4,3,3,4,2,4,3,4,4,4,2,3,3,2,2,4,4,3,4,4,2,4,3,3,4,4,2,2,4,4,1,2,2
33,133,2,20,4,4,5,5,1,4,4,4,3,3,3,4,4,5,3,4,4,4,2,4,4,3,4,1,3,3,3,4,5,4,4,4,4,5,4,5,4,4,2,4,4,5,4,3,4,3,5,4,3,4
34,134,2,24,2,3,4,5,4,5,4,5,2,5,3,2,3,5,4,5,5,5,4,4,4,4,3,4,3,4,5,5,5,3,1,3,3,5,5,5,1,2,2,2,4,2,4,2,1,4,3,4,1,4
35,135,2,18,5,4,2,5,1,5,4,5,2,4,4,5,4,5,3,4,5,5,2,3,4,4,3,2,5,5,5,5,4,4,2,3,5,5,5,5,5,3,5,4,4,5,5,3,3,4,5,5,4,4
36,136,1,18,2,2,1,4,4,3,4,4,2,3,3,2,1,4,4,3,2,4,2,4,3,3,2,4,2,5,2,4,3,4,1,3,5,4,2,3,1,4,3,2,2,3,4,2,4,3,5,4,2,3
37,137,2,18,5,4,4,5,2,5,4,5,2,2,2,5,2,4,2,4,4,2,2,2,4,1,2,2,5,4,4,4,4,3,4,4,5,5,4,4,4,2,5,4,2,4,4,4,4,1,5,3,2,2
38,138,2,21,3,3,2,4,4,3,3,3,2,3,3,3,2,3,3,3,3,4,4,3,2,5,3,4,2,3,2,3,3,4,2,4,4,3,3,3,2,3,3,3,2,4,3,3,3,4,3,2,3,2
39,139,1,19,4,3,1,5,4,3,4,5,2,3,3,4,1,5,5,4,3,5,1,5,4,4,3,3,5,4,4,2,3,3,2,3,5,3,2,4,2,1,4,4,1,4,5,5,5,4,5,1,1,4
40,140,1,18,4,4,4,4,4,3,4,3,4,2,5,3,4,4,5,2,3,3,2,5,3,2,2,3,3,3,2,4,3,5,2,2,4,3,2,4,4,3,4,4,4,5,4,3,4,1,5,2,4,4
41,141,1,18,3,3,2,3,2,4,4,5,2,3,2,5,3,5,3,3,4,3,2,5,4,2,4,2,3,3,3,2,3,4,3,4,4,3,2,3,4,3,4,5,3,5,5,4,3,2,5,3,2,3
42,142,1,18,4,3,3,5,1,4,3,5,2,4,3,4,1,5,5,3,4,4,1,4,2,3,4,2,2,4,4,1,5,2,2,3,5,5,4,4,3,1,5,5,2,4,5,1,1,1,5,2,1,2
43,143,1,18,5,4,4,5,5,5,5,5,5,2,4,1,3,4,5,5,3,4,5,5,4,5,5,5,2,5,3,4,4,4,1,4,5,4,4,5,2,2,3,5,1,4,5,4,5,5,5,2,4,5
44,144,1,18,5,5,2,5,2,5,2,5,4,3,2,4,2,5,4,5,5,5,4,4,3,1,2,4,2,4,4,2,4,4,1,1,4,5,4,4,5,2,5,4,1,5,5,4,2,2,5,2,4,4
45,145,1,18,4,5,3,5,3,4,2,5,1,2,3,4,2,5,5,5,4,4,3,5,5,2,3,1,4,5,5,2,5,3,1,1,5,5,3,4,3,2,5,5,1,5,5,1,2,3,5,2,1,3
46,146,1,18,4,2,4,5,1,5,5,5,1,5,4,5,2,5,4,5,5,5,4,4,5,4,5,2,4,4,2,4,4,2,2,4,5,5,5,5,4,2,4,4,2,5,5,2,1,4,5,2,1,1
47,147,1,19,4,5,3,4,2,5,3,4,4,2,2,4,2,5,5,4,4,5,3,5,3,2,4,2,3,5,3,2,4,2,1,2,5,4,2,2,4,4,5,4,1,5,4,4,2,3,5,3,4,2
48,148,2,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
49,149,1,18,4,5,5,3,3,2,3,4,5,3,5,4,5,2,4,4,1,1,5,2,4,2,4,5,2,5,4,2,1,5,5,2,5,2,1,1,3,5,1,5,2,3,1,5,1,5,4,5,5,5
50,150,2,20,5,3,3,5,5,5,5,5,1,5,3,1,1,5,3,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,1,5,5,5,5,5,2,3,4,4,1,5,5,3,5,5,4,1,4,4
51,151,1,18,3,4,2,4,4,5,3,5,4,1,3,2,2,4,5,5,4,5,2,5,4,3,4,4,2,4,2,1,2,5,1,2,5,3,1,4,3,2,2,4,3,2,5,4,4,1,5,2,4,4
52,152,1,19,2,2,1,5,4,5,3,5,1,2,4,5,1,5,5,2,5,4,1,5,2,3,4,1,3,1,2,2,5,2,1,4,5,5,2,4,2,1,5,5,5,4,4,1,2,1,5,1,1,1
53,153,2,30,5,4,3,4,4,5,3,4,1,4,3,4,3,4,2,4,4,3,4,3,4,3,3,3,3,4,4,5,5,3,2,2,4,4,4,4,3,4,4,3,2,5,3,3,3,4,4,5,4,3
54,154,1,18,4,5,1,5,1,4,2,5,2,5,3,5,2,5,1,4,5,5,2,2,4,2,4,2,5,5,4,1,5,2,1,2,5,5,5,4,4,2,5,1,1,5,5,1,3,5,5,3,2,1
55,155,1,18,4,5,4,4,4,4,3,3,4,2,4,4,4,4,5,4,5,2,3,4,4,1,3,3,2,3,3,4,3,5,2,1,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5
