"","F01_P1.rtf","F02_P3.rtf","F03_P4.rtf","F04_P5.rtf","F05_P6.rtf","F06_P9.rtf","F07_P10.rtf","F08_P11.rtf","F09_P13.rtf","F10_P14.rtf","F11_P16.rtf","F12_P17.rtf","F13_P18.rtf","F14_P19.rtf","F15_P20.rtf","F16_P22.rtf","F17_P23.rtf","F18_P27.rtf","F19_P29.rtf","F20_P31.rtf","F21_P32.rtf","F22_P36.rtf","F23_P39.rtf","F24_P40.rtf","F25_P41.rtf","F26_P42.rtf","F27_P43.rtf","F28_P45.rtf","F29_P46.rtf","F30_P48.rtf","F31_P49.rtf","F32_P51.rtf","F33_P52.rtf","F34_P55.rtf","F35_P56.rtf","F36_P57.rtf","F37_P60.rtf","F38_P61.rtf","F39_P62.rtf","F40_P63.rtf","F41_P65.rtf","F42_P68.rtf","F43_P69.rtf","F44_P70.rtf","F45_P71.rtf","F46_P72.rtf","M01_P2.rtf","M02_P7.rtf","M03_P12.rtf","M04_P15.rtf","M05_P21.rtf","M06_P24.rtf","M07_P25.rtf","M08_P30.rtf","M09_P33.rtf","M10_P34.rtf","M11_P35.rtf","M12_P37.rtf","M13_P38.rtf","M14_P50.rtf","M15_P58.rtf","M16_P66.rtf","M17_P73.rtf","M18_P74.rtf","M19_P76.rtf","M20_P77.rtf","M21_P78.rtf","M22_P79.rtf","M23_P80.rtf","M24_P81.rtf","M25_P82.rtf","M26_P83.rtf","M27_P84.rtf","M28_P86.rtf","M29_P87.rtf","M30_P88.rtf","M31_P89.rtf","M32_P90.rtf","M33_P91.rtf","M34_P92.rtf","M35_P93.rtf","M36_P94.rtf","M37_P96.rtf","M38_P97.rtf","M39_P98.rtf","M40_P99.rtf","M41_P101.rtf","M42_P103.rtf","M43_P104.rtf","M44_P105.rtf"
"F01_P1.rtf",1,0.10985776732494,0.392221487406724,0.314847949911217,-0.0667544973070227,0.0697207118835826,0.0272851706593332,0.296981072752818,0.472759446319699,0.137956284654277,0.310658369439939,0.402067848959359,0.484189621546693,0.10142940723069,0.224004519149103,0.086474992661762,0.113670832068677,0.294269960326862,0.0674569442662194,0.0760153241843348,0.424800145608084,0.336696064120937,0.663787032610245,0.142620702725899,0.146390052362461,0.190395186603454,0.476767561080587,0.287111801566653,0.0826057548824333,0.234883229396604,0.0772282339634415,0.344187369975395,0.153742424321429,0.0735212049572582,0.391504516636845,0.00613657967685472,0.230175341718764,0.217816754740634,0.516376968489388,-0.0752098666316936,0.120765833270636,0.0374392597441819,0.303724966080427,0.103597309525237,0.0340961356571674,0.00361734260448114,-0.0102495188582279,0.0508149933090507,0.605681644029359,0.166465650775179,0.096039262268659,0.248986735122418,0.203423802107867,0.054048743369734,0.126316382271525,0.212332112268387,0.0749174927858019,0.457634044587894,-0.0115775680589813,0.0938164665958636,-0.0111689154886681,0.616192713939378,0.195863678645828,0.259703978171961,0.051341154758317,0.144826254675813,-0.137941869312573,0.0447312762502861,0.294378628564799,0.0380803192225774,0.0550600906838308,0.227340513911704,0.179117695229857,0.107239877547686,-0.0256572264129576,0.0140220259695253,0.427535791803207,0.500798644619717,0.340705271686251,0.156072506932773,0.0353976843273707,0.0400589041916648,0.114819569854316,0.657516481741638,0.0729293909865932,-0.00704800632506465,0.0466065338979285,-0.0447813853953431,-0.042003787797814,0.0569331061148201
"F02_P3.rtf",0.10985776732494,1,0.295244721970934,0.0178792076980481,0.0706041929428191,0.0781393723524189,0.060092087520001,0.135046321033775,0.185584808470292,0.092044374237081,0.160853009746092,0.131539789232437,0.138290969830608,-0.00410010132904334,0.173789789664989,0.0441837056309416,0.0360954529483087,0.00512305063371025,0.0432742810640525,0.0321871640947772,0.273045804230193,0.0548768975844068,0.158588398751169,-0.0141981112731291,0.135129284413198,0.135074238123154,0.171474076707145,0.188782130039744,0.0176107514635588,0.0584828140494148,0.0230133381713427,0.135240874510373,0.153351479556861,-0.0152750686633959,0.125305716252655,0.0249720484093059,0.0799061342714884,0.268375667935539,0.231349406316272,0.0931800347939989,0.0349508323031648,0.0547709470220477,0.172381846026697,0.171050482287811,0.0441710250379402,0.0445048225523017,0.0394940109604901,0.0255283136875521,0.0839355946490647,-0.011549220137683,0.0478557206241955,0.0490692893016407,0.178964801190398,0.10798847724402,-0.0678230909098803,0.0511100031381491,0.302893232360239,0.080619612622563,0.0391458250385755,0.191183865678476,0.0679519752890141,0.170508970158622,0.158223450507097,0.0180420477553833,0.0588373505170581,0.0239879999112243,0.124098762834507,0.0967340484059119,0.249940899012819,0.0470397699692572,0.00542113985990259,0.189374151955969,0.172029363357605,0.0224240793153454,0.0453770087830979,0.335907328200371,0.236402550754086,0.000517543198335095,-0.0721330488440016,-0.0270067416137557,0.0171508372536723,0.0110082685495841,0.079170615911785,0.147519392583774,-0.0266540749947183,-0.0216404643149902,0.182353450378066,0.0328739890490856,0.0299739858502731,0.0690914830384368
"F03_P4.rtf",0.392221487406724,0.295244721970934,1,0.319940663705703,0.121138506989895,0.0436916359764003,0.129946616019702,0.307432198831139,0.481042584800839,0.340574143434636,0.0804892203410431,0.302876921127169,0.575643368768214,0.450919949238405,0.683177152454182,0.151784331711587,0.098355050749988,0.12868212175077,0.170417696375238,0.00725264605239385,0.306461005341602,0.0233027600349762,0.404938550333044,0.185261262077865,0.32687329778852,0.148881952500024,0.275508832234338,0.319218732793753,0.160887936350699,0.0125839801025841,0.0532205934567874,0.465047074702846,0.277287851682868,0.3558385882268,0.489902933628622,0.142980482974108,-0.0436897970248943,0.284766542664541,0.467111885254879,0.239316554078767,0.0240961938220812,0.118699729328793,0.321552885671739,0.318015631137718,0.124318268525055,0.0654469831874457,-0.0430197062164813,0.11047982886463,0.384360995185065,0.253788769971553,0.0304307330094499,0.0041181796764728,0.381359260261843,-0.061616485580192,0.260937796067788,0.0350131606899201,0.311403437635072,0.4251577222288,0.123742796327589,0.215964839754091,0.0426077777469998,0.36214039015882,0.0913103843239934,0.193167628847215,0.0925037271426326,0.0807847679866668,0.114912798850839,0.00287607388011938,0.101896040645559,-0.0157687862709878,0.414867870470153,0.313666139646101,0.360454680218742,0.0744777011235278,0.154128055346935,0.00560995982655938,0.424364006705717,-0.0308971242867276,0.123507299597686,0.313535436127947,0.107687552703937,0.205241844991551,-0.0357745977993783,0.379817943845189,0.0986807418361261,0.0974994836240779,0.33796490579202,-0.0076327834846549,0.167827711660401,0.126998065009773
"F04_P5.rtf",0.314847949911217,0.0178792076980481,0.319940663705703,1,0.101208606594393,0.0917872350950146,0.00096300570147179,0.557658186450726,0.478842797955452,0.515644163964671,0.246093744885264,0.106994641892844,0.254776859567771,0.488658629923488,0.39868526677193,0.605795720254141,0.086000775006781,0.111909556509485,0.102225754110987,0.0176327925216003,0.625829512517133,0.309306074275784,0.151604196548167,-0.0196513112607615,0.494361912673917,0.222453896591958,0.443730422582075,0.159917723130669,0.0781098036158706,0.362027914660613,0.171593562228728,0.647232962752121,0.0269264781187678,0.106214557326325,0.497565206275208,0.406197064590768,0.374554424015611,0.47241437519642,0.476037455388976,0.0874824603799847,0.196620747500462,0.102364141677313,0.0796267010859281,0.492316405769849,0.154817096503434,0.188572362666129,0.236013574977728,0.068748072625542,0.383336368560987,0.0202414656441736,0.0726501570979139,0.105794050936317,0.337171135992443,0.131815171213098,0.208842293113388,0.266721596941695,0.367998547483532,0.246743955296211,0.0711533709048745,0.457458149388646,0.196398782706194,0.432918996850238,0.240292031141795,0.265367313576262,0.0570650268343139,0.0410799692505051,0.218627653285439,0.182045384368183,0.277261310911303,0.182643587767877,0.167036779679204,0.340729258488083,0.39387825791815,0.153015827782082,-0.00534897163124638,0.040006925845087,0.339832588376204,0.185393139796703,0.569484605269503,0.300826668137232,0.0447900557958855,0.286237919595785,0.0450376544831308,0.635023669756955,0.116997772417732,0.229496349275915,0.49221261792139,0.121756986879285,0.273091911326081,0.176218150730892
"F05_P6.rtf",-0.0667544973070227,0.0706041929428191,0.121138506989895,0.101208606594393,1,0.245625722107923,0.0545241196800864,0.00322411874971529,0.214569151199092,0.353321502263275,-0.0263314656092877,-0.0398211588044661,0.17070131394865,0.420089669440574,0.244983378106275,0.0418551371696732,0.162188857714084,0.273188614665286,0.052254208574171,0.0623724833124178,0.299343994090616,0.0597152876001957,0.17961115499299,0.376067191250703,0.20614721472588,0.0861442775254021,0.155034650804796,0.119535188480332,0.0560836575768629,0.251014146832004,0.113907863096183,0.364014272377328,0.221419504990396,0.231844497294143,0.241570843689682,0.0582702735012953,0.227649659983675,0.351610002701242,0.293204488115114,0.113683711263363,-0.0581173068046005,0.0889788755098545,0.131276844001665,0.248054520943821,-0.000564709302819364,0.0150728990026497,-0.0105944860422164,0.124260212164088,0.145775798876668,0.0947703874362831,0.0591535780811741,0.103457049020524,0.37648298968569,0.00489254888204764,-0.0436047454006424,0.305864754691237,0.174929858894625,-0.136924433302897,0.0979048865641213,0.224715822488979,0.0563680372463225,0.228831362071257,0.217649934128213,-0.0404481287087153,0.0717810758751465,0.0710414463928105,0.0081998275045081,0.119579338835844,0.254875684596111,0.100165507535507,0.225906890041561,0.3027608133067,0.162243025779303,0.00827083318214674,0.173723296484179,0.253430636451109,0.373790431080499,0.178222606920086,0.233640207562795,-0.0572048643708597,0.0168169249600807,0.01855339269422,0.103090010527716,0.131329585913446,0.0787637989083399,0.303925583056642,0.315257226444373,0.246573657177831,0.133247413545242,-0.0923668683195367
"F06_P9.rtf",0.0697207118835826,0.0781393723524189,0.0436916359764003,0.0917872350950146,0.245625722107923,1,0.0470240709377162,0.185282712685945,0.119561925703617,0.287595544397876,0.297346577582942,0.0881894657768656,0.165315957840403,0.197362077396218,0.0814947391481246,0.0862143300458502,0.107478826829093,0.226893622581503,0.0265215050920387,0.119405301050444,0.153618744472664,0.0688810560767588,0.163008664381475,0.283279546523912,0.157272797618972,0.098707881632982,0.0490087180714864,0.234838408672607,0.0743505639674045,0.0888385051657362,0.0433615844374064,0.209829269493044,0.00482584045491919,-0.00225295025623604,0.140572001074619,0.0715146420926918,-0.0785473285295499,0.0772391185120654,0.184949920878864,0.110771483981752,0.250527372979139,0.0300858523655171,0.230431748283961,0.0887462653652954,0.197678090269512,-0.0432277967701606,0.00758597405834467,0.103187034467797,0.0747223395876317,0.116809509287559,0.0080955651960563,0.0476019601993154,0.0928862114160923,0.0702841695315818,0.0886547173200705,-0.00947431684322297,-0.0433275296609271,-0.00418109860282474,0.00375564728629132,0.0190448537980806,0.0739422868422158,0.127614738372247,0.176091982191347,0.0903793664659043,0.00960915801974332,0.00853708997651732,0.0783483917260309,0.00987990241033393,0.119561532610377,0.893880485675799,0.333117167909977,0.236505504991993,0.131117954048558,0.0521489654243183,0.0885578523642732,0.0912047575461917,0.124825037950639,0.097063782786426,-0.00286861706488007,0.0490105086685847,0.0141892188847821,0.0555352426687145,0.101457742643597,0.098087702627332,0.0386234643377176,0.182240271668034,-0.0642582275444875,-0.0589323091638132,0.112177131301134,-0.0172862315454972
"F07_P10.rtf",0.0272851706593332,0.060092087520001,0.129946616019702,0.00096300570147179,0.0545241196800864,0.0470240709377162,1,-0.0570751167029901,0.24554473438107,0.0479752807519307,0.0657948424319337,0.136587621753897,0.371756359997177,0.18475292789117,0.0318835315836828,-0.0174966151910752,0.167498773902708,0.156285989260049,0.103932084445257,0.0636003042734427,0.0980188153361755,0.141456328497034,-0.0220535173587081,0.112829529632266,-0.0151184759922301,0.210387857739152,0.0839723736705413,0.242800089662346,0.0663268375717686,0.173977239181794,0.102427689676679,0.201291525828863,0.33268053657324,0.0396681900364638,0.141668323037285,0.0767634852794736,0.166717166405042,0.184218018362559,0.132565326436661,0.384618858301107,0.192674969197134,0.0746266305354074,0.207521493412843,0.0871808250325955,0.0880680716894157,0.0787543604411925,0.0639476019692432,0.0610863957376328,0.0756892614824961,0.104102839816402,0.080515552036181,0.116830144268401,0.25882874981902,0.143106142631007,0.182898001169596,0.114372355197335,-0.0144157694803482,0.0255205230086633,0.025444600997847,-0.134990921188251,0.0520555250887969,0.00636774440161987,0.0123527523420631,0.161243889347221,0.0517821557134159,0.0558487918261775,0.0609412199499535,0.00800928434956131,0.103397336736453,0.00944666723738774,0.148333941339746,0.16207868247533,0.0860161375724443,0.102528259796302,0.0982933603519285,0.113123586523272,0.308657132661047,0.00982483823705061,0.0956908626912003,0.172803699060121,0.0435061210653581,0.0304388368945192,0.0843123659850314,0.12329502543232,0.0404317448240177,0.279797351304236,-0.0247448283166257,-0.000596643564651274,0.140634012236941,0.057740351455832
"F08_P11.rtf",0.296981072752818,0.135046321033775,0.307432198831139,0.557658186450726,0.00322411874971529,0.185282712685945,-0.0570751167029901,1,0.55515464757858,0.647065176078291,0.257744442668275,0.258905864570518,0.271307295783899,0.337687060428816,0.474937783018129,0.225118270135448,0.144924699910899,0.247509224030801,0.151895168983665,0.0946432363477753,0.577772309325598,0.550724259987676,0.224541489082378,0.0978875137654415,0.431123849352008,0.192471332674624,0.4174806678959,0.233908437085479,0.0404909789641134,0.375897301727846,0.0275696163685018,0.678750832238491,0.0635242448213039,0.101322885801731,0.484897630296837,0.212017855898275,0.131882902994674,0.25880584054665,0.650352137172893,0.271479278014569,0.259743265869982,0.127141679735334,0.274860845694354,0.440508210828889,0.141132157751481,0.564608253344673,0.2667150801862,0.0581542183367017,0.495762919850542,0.1425924307519,0.0630000443595058,0.199201269799655,0.453518022274285,0.165715434206554,0.476275939539972,0.359848465861871,0.487003204507637,0.468169495254341,0.0813443931105916,0.354480043840201,0.111887229122702,0.450062832074443,0.364266810191563,0.579557396995337,-0.0071334162699009,0.0738135130650283,0.378040337603878,0.236180212949213,0.177606491047953,0.260792019373018,0.45285642863415,0.356133930514259,0.54702950024901,0.130681470822336,0.0732781476479757,0.527673026449448,0.427050928606151,0.254555476126863,0.133461133617015,0.351201550565552,0.0947899741893397,0.108950596578898,0.054459697277509,0.441957720240438,0.148675987310812,0.337245591757306,0.403482081897214,0.291684032764471,0.367447484373111,-0.120810052416432
"F09_P13.rtf",0.472759446319699,0.185584808470292,0.481042584800839,0.478842797955452,0.214569151199092,0.119561925703617,0.24554473438107,0.55515464757858,1,0.497222351398166,0.181470227032115,0.0660023875398048,0.554878189306156,0.489853141094945,0.474262766362754,0.082717923197729,0.0609384436498359,0.192148917657523,0.0978613342123754,0.0715771992636817,0.597402079772654,0.36318497006825,0.364049493916553,0.00489169238127421,0.30885362307572,0.253341316906111,0.523069040737567,0.496706533405841,0.12723343617887,0.243165666859894,0.166390163110007,0.668972692063485,0.154445700684925,0.305615544668802,0.700891365361981,0.100448741107366,0.26695719592665,0.352553413940001,0.788665192923888,0.375501279477543,0.389723580822435,0.0222598523704407,0.261321916702184,0.522367754404449,0.087448270130531,0.360613009296284,0.0575334304167064,0.202341401418316,0.671989545646884,0.145419711347429,0.02335390105125,0.0831345872816685,0.643020441925914,0.041939532925032,0.294281615867941,0.398291320241182,0.647284400968612,0.564338176134831,0.141160975856695,0.376500053152349,0.13108949917366,0.645128789523586,0.380299550612187,0.351352025227733,0.153969571567742,0.0489676139384911,0.112288946267553,0.125046469340614,0.305857551998404,0.166640321655449,0.447294625402457,0.254708608160318,0.499159362203866,0.215948180557859,-0.0365355443371942,0.449149490224315,0.482287293137144,0.414444556667364,0.356728536702313,0.12128917173555,0.0930645511959019,0.137799049477145,0.249638024484002,0.641034730835184,0.345736824679331,0.239604812747824,0.427374266950161,0.186005280899431,0.179907287964096,0.0947381917235703
"F10_P14.rtf",0.137956284654277,0.092044374237081,0.340574143434636,0.515644163964671,0.353321502263275,0.287595544397876,0.0479752807519307,0.647065176078291,0.497222351398166,1,0.148135824783443,0.150127064430716,0.250077085361973,0.562149592779883,0.418561063304077,0.308351026127785,0.159273084893735,0.149323729946373,0.155545659722867,0.123564135118384,0.493223901265321,0.325473490484412,0.113351196742403,0.164852335731112,0.479499285523227,0.0817237190352721,0.198364589322334,0.129541091037408,0.213367175384384,0.26359880723768,0.101546273576856,0.726627243925284,0.0438065793862106,0.245844613591434,0.352938424002565,0.0338948065182047,0.420890462355442,0.473486147323089,0.535029092465069,0.128194527718903,0.235772368265268,0.130279985220353,0.24457938247791,0.379391426929675,0.107928637128825,0.425967518926344,0.310987073062302,0.141516934695399,0.437511552914481,0.241825697364493,0.121402094585989,-0.00522299504238053,0.508105550985048,0.266065741181534,0.316646133608705,0.547260036415912,0.462708718827487,0.347271528526349,0.0600015576676194,0.295202785704264,0.157994626908909,0.483573109721714,0.53271523968054,0.242050222815425,-0.0105293177491147,0.054749369601183,0.477383727956871,-0.0577856165793518,0.141678921832756,0.252801057093957,0.470073231636119,0.445389120489419,0.46342108905448,0.0354502266272452,0.0910556438751919,0.388263908536725,0.441896163754176,0.350021979266926,0.116138030370696,0.196451299877034,0.155876712147239,0.37648528939408,0.0168156139273847,0.358875639278586,0.126271355287676,0.352902019729144,0.483115421609921,0.181624451791913,0.162148453209926,-0.106663328816112
