comparison,male_partno,fem_partno,cosine,male_openness,male_extraversion,male_agreeableness,male_conscientiousness,male_emo_stab,fem_openness,fem_extraversion,fem_agreeableness,fem_conscientiousness,fem_emo_stab
1,2,1,-0.010249519,30,33,41,43,22,40,46,44,38,35
2,7,1,0.050814993,40,27,32,25,15,40,46,44,38,35
3,12,1,0.605681644,39,33,31,30,30,40,46,44,38,35
4,15,1,0.166465651,39,35,31,39,43,40,46,44,38,35
5,21,1,0.096039262,42,44,44,49,22,40,46,44,38,35
6,24,1,0.248986735,37,37,31,31,32,40,46,44,38,35
7,25,1,0.203423802,41,43,43,43,47,40,46,44,38,35
8,30,1,0.054048743,29,39,39,37,34,40,46,44,38,35
9,33,1,0.126316382,34,36,33,40,28,40,46,44,38,35
10,34,1,0.212332112,39,28,34,39,33,40,46,44,38,35
11,35,1,0.074917493,42,41,32,41,34,40,46,44,38,35
12,37,1,0.457634045,35,39,35,41,34,40,46,44,38,35
13,38,1,-0.011577568,32,26,33,30,28,40,46,44,38,35
14,50,1,0.093816467,48,28,43,36,25,40,46,44,38,35
15,58,1,-0.011168915,31,36,36,33,27,40,46,44,38,35
16,66,1,0.616192714,34,29,35,38,35,40,46,44,38,35
17,73,1,0.195863679,34,45,32,32,25,40,46,44,38,35
18,74,1,0.259703978,44,36,39,29,22,40,46,44,38,35
19,76,1,0.051341155,37,31,24,24,31,40,46,44,38,35
20,77,1,0.144826255,36,50,34,30,33,40,46,44,38,35
21,78,1,-0.137941869,44,21,32,22,18,40,46,44,38,35
22,79,1,0.044731276,47,25,37,28,22,40,46,44,38,35
23,80,1,0.294378629,41,46,41,39,44,40,46,44,38,35
24,81,1,0.038080319,41,46,36,33,38,40,46,44,38,35
25,82,1,0.055060091,47,46,47,42,42,40,46,44,38,35
26,83,1,0.227340514,39,42,45,33,41,40,46,44,38,35
27,84,1,0.179117695,46,47,37,34,43,40,46,44,38,35
28,86,1,0.107239878,35,44,35,35,33,40,46,44,38,35
29,87,1,-0.025657226,36,40,37,36,29,40,46,44,38,35
30,88,1,0.014022026,24,47,32,36,46,40,46,44,38,35
31,89,1,0.427535792,36,37,28,32,32,40,46,44,38,35
32,90,1,0.500798645,23,35,38,38,32,40,46,44,38,35
33,91,1,0.340705272,25,42,34,46,45,40,46,44,38,35
34,92,1,0.156072507,48,46,36,44,37,40,46,44,38,35
35,93,1,0.035397684,35,24,37,22,33,40,46,44,38,35
36,94,1,0.040058904,41,33,28,39,42,40,46,44,38,35
37,96,1,0.11481957,33,41,33,39,35,40,46,44,38,35
38,97,1,0.657516482,42,44,38,26,29,40,46,44,38,35
39,98,1,0.072929391,46,22,34,40,26,40,46,44,38,35
