,M-File,F-File,M-Part,F-Part,Cosine
208,M32_P90.rtf,F05_P6.rtf,90,6,0.178222607
209,M33_P91.rtf,F05_P6.rtf,91,6,0.233640208
210,M34_P92.rtf,F05_P6.rtf,92,6,-0.057204864
211,M35_P93.rtf,F05_P6.rtf,93,6,0.016816925
212,M36_P94.rtf,F05_P6.rtf,94,6,0.018553393
213,M37_P96.rtf,F05_P6.rtf,96,6,0.103090011
214,M38_P97.rtf,F05_P6.rtf,97,6,0.131329586
215,M39_P98.rtf,F05_P6.rtf,98,6,0.078763799
216,M40_P99.rtf,F05_P6.rtf,99,6,0.303925583
217,M41_P101.rtf,F05_P6.rtf,101,6,0.315257226
218,M42_P103.rtf,F05_P6.rtf,103,6,0.246573657
219,M43_P104.rtf,F05_P6.rtf,104,6,0.133247414
220,M44_P105.rtf,F05_P6.rtf,105,6,-0.092366868
221,M01_P2.rtf,F06_P9.rtf,2,9,0.007585974
222,M02_P7.rtf,F06_P9.rtf,7,9,0.103187034
223,M03_P12.rtf,F06_P9.rtf,12,9,0.07472234
224,M04_P15.rtf,F06_P9.rtf,15,9,0.116809509
225,M05_P21.rtf,F06_P9.rtf,21,9,0.008095565
226,M06_P24.rtf,F06_P9.rtf,24,9,0.04760196
227,M07_P25.rtf,F06_P9.rtf,25,9,0.092886211
228,M08_P30.rtf,F06_P9.rtf,30,9,0.07028417
229,M09_P33.rtf,F06_P9.rtf,33,9,0.088654717
230,M10_P34.rtf,F06_P9.rtf,34,9,-0.009474317
231,M11_P35.rtf,F06_P9.rtf,35,9,-0.04332753
232,M12_P37.rtf,F06_P9.rtf,37,9,-0.004181099
233,M13_P38.rtf,F06_P9.rtf,38,9,0.003755647
234,M14_P50.rtf,F06_P9.rtf,50,9,0.019044854
235,M15_P58.rtf,F06_P9.rtf,58,9,0.073942287
236,M16_P66.rtf,F06_P9.rtf,66,9,0.127614738
237,M17_P73.rtf,F06_P9.rtf,73,9,0.176091982
238,M18_P74.rtf,F06_P9.rtf,74,9,0.090379366
239,M19_P76.rtf,F06_P9.rtf,76,9,0.009609158
240,M20_P77.rtf,F06_P9.rtf,77,9,0.00853709
241,M21_P78.rtf,F06_P9.rtf,78,9,0.078348392
242,M22_P79.rtf,F06_P9.rtf,79,9,0.009879902
243,M23_P80.rtf,F06_P9.rtf,80,9,0.119561533
244,M24_P81.rtf,F06_P9.rtf,81,9,0.893880486
245,M25_P82.rtf,F06_P9.rtf,82,9,0.333117168
246,M26_P83.rtf,F06_P9.rtf,83,9,0.236505505
247,M27_P84.rtf,F06_P9.rtf,84,9,0.131117954
248,M28_P86.rtf,F06_P9.rtf,86,9,0.052148965
249,M29_P87.rtf,F06_P9.rtf,87,9,0.088557852
250,M30_P88.rtf,F06_P9.rtf,88,9,0.091204758
251,M31_P89.rtf,F06_P9.rtf,89,9,0.124825038
252,M32_P90.rtf,F06_P9.rtf,90,9,0.097063783
253,M33_P91.rtf,F06_P9.rtf,91,9,-0.002868617
254,M34_P92.rtf,F06_P9.rtf,92,9,0.049010509
255,M35_P93.rtf,F06_P9.rtf,93,9,0.014189219
256,M36_P94.rtf,F06_P9.rtf,94,9,0.055535243
257,M37_P96.rtf,F06_P9.rtf,96,9,0.101457743
258,M38_P97.rtf,F06_P9.rtf,97,9,0.098087703
259,M39_P98.rtf,F06_P9.rtf,98,9,0.038623464
260,M40_P99.rtf,F06_P9.rtf,99,9,0.182240272
261,M41_P101.rtf,F06_P9.rtf,101,9,-0.064258228
262,M42_P103.rtf,F06_P9.rtf,103,9,-0.058932309
263,M43_P104.rtf,F06_P9.rtf,104,9,0.112177131
264,M44_P105.rtf,F06_P9.rtf,105,9,-0.017286232
265,M01_P2.rtf,F07_P10.rtf,2,,0.063947602
266,M02_P7.rtf,F07_P10.rtf,7,,0.061086396
267,M03_P12.rtf,F07_P10.rtf,12,,0.075689261
268,M04_P15.rtf,F07_P10.rtf,15,,0.10410284
269,M05_P21.rtf,F07_P10.rtf,21,,0.080515552
270,M06_P24.rtf,F07_P10.rtf,24,,0.116830144
271,M07_P25.rtf,F07_P10.rtf,25,,0.25882875
272,M08_P30.rtf,F07_P10.rtf,30,,0.143106143
273,M09_P33.rtf,F07_P10.rtf,33,,0.182898001
274,M10_P34.rtf,F07_P10.rtf,34,,0.114372355
275,M11_P35.rtf,F07_P10.rtf,35,,-0.014415769
276,M12_P37.rtf,F07_P10.rtf,37,,0.025520523
277,M13_P38.rtf,F07_P10.rtf,38,,0.025444601
278,M14_P50.rtf,F07_P10.rtf,50,,-0.134990921
279,M15_P58.rtf,F07_P10.rtf,58,,0.052055525
280,M16_P66.rtf,F07_P10.rtf,66,,0.006367744
281,M17_P73.rtf,F07_P10.rtf,73,,0.012352752
282,M18_P74.rtf,F07_P10.rtf,74,,0.161243889
283,M19_P76.rtf,F07_P10.rtf,76,,0.051782156
284,M20_P77.rtf,F07_P10.rtf,77,,0.055848792
285,M21_P78.rtf,F07_P10.rtf,78,,0.06094122
286,M22_P79.rtf,F07_P10.rtf,79,,0.008009284
287,M23_P80.rtf,F07_P10.rtf,80,,0.103397337
288,M24_P81.rtf,F07_P10.rtf,81,,0.009446667
289,M25_P82.rtf,F07_P10.rtf,82,,0.148333941
290,M26_P83.rtf,F07_P10.rtf,83,,0.162078682
291,M27_P84.rtf,F07_P10.rtf,84,,0.086016138
292,M28_P86.rtf,F07_P10.rtf,86,,0.10252826
293,M29_P87.rtf,F07_P10.rtf,87,,0.09829336
294,M30_P88.rtf,F07_P10.rtf,88,,0.113123587
295,M31_P89.rtf,F07_P10.rtf,89,,0.308657133
296,M32_P90.rtf,F07_P10.rtf,90,,0.009824838
297,M33_P91.rtf,F07_P10.rtf,91,,0.095690863
298,M34_P92.rtf,F07_P10.rtf,92,,0.172803699
299,M35_P93.rtf,F07_P10.rtf,93,,0.043506121
300,M36_P94.rtf,F07_P10.rtf,94,,0.030438837
301,M37_P96.rtf,F07_P10.rtf,96,,0.084312366
302,M38_P97.rtf,F07_P10.rtf,97,,0.123295025
303,M39_P98.rtf,F07_P10.rtf,98,,0.040431745
304,M40_P99.rtf,F07_P10.rtf,99,,0.279797351
305,M41_P101.rtf,F07_P10.rtf,101,,-0.024744828
306,M42_P103.rtf,F07_P10.rtf,103,,-0.000596644
307,M43_P104.rtf,F07_P10.rtf,104,,0.140634012
308,M44_P105.rtf,F07_P10.rtf,105,,0.057740351
309,M01_P2.rtf,F08_P11.rtf,2,,0.26671508
310,M02_P7.rtf,F08_P11.rtf,7,,0.058154218
311,M03_P12.rtf,F08_P11.rtf,12,,0.49576292
312,M04_P15.rtf,F08_P11.rtf,15,,0.142592431
313,M05_P21.rtf,F08_P11.rtf,21,,0.063000044
314,M06_P24.rtf,F08_P11.rtf,24,,0.19920127
315,M07_P25.rtf,F08_P11.rtf,25,,0.453518022
316,M08_P30.rtf,F08_P11.rtf,30,,0.165715434
317,M09_P33.rtf,F08_P11.rtf,33,,0.47627594
318,M10_P34.rtf,F08_P11.rtf,34,,0.359848466
319,M11_P35.rtf,F08_P11.rtf,35,,0.487003205
320,M12_P37.rtf,F08_P11.rtf,37,,0.468169495
321,M13_P38.rtf,F08_P11.rtf,38,,0.081344393
322,M14_P50.rtf,F08_P11.rtf,50,,0.354480044
323,M15_P58.rtf,F08_P11.rtf,58,,0.111887229
324,M16_P66.rtf,F08_P11.rtf,66,,0.450062832
325,M17_P73.rtf,F08_P11.rtf,73,,0.36426681
326,M18_P74.rtf,F08_P11.rtf,74,,0.579557397
327,M19_P76.rtf,F08_P11.rtf,76,,-0.007133416
328,M20_P77.rtf,F08_P11.rtf,77,,0.073813513
329,M21_P78.rtf,F08_P11.rtf,78,,0.378040338
330,M22_P79.rtf,F08_P11.rtf,79,,0.236180213
331,M23_P80.rtf,F08_P11.rtf,80,,0.177606491
332,M24_P81.rtf,F08_P11.rtf,81,,0.260792019
333,M25_P82.rtf,F08_P11.rtf,82,,0.452856429
334,M26_P83.rtf,F08_P11.rtf,83,,0.356133931
335,M27_P84.rtf,F08_P11.rtf,84,,0.5470295
336,M28_P86.rtf,F08_P11.rtf,86,,0.130681471
337,M29_P87.rtf,F08_P11.rtf,87,,0.073278148
338,M30_P88.rtf,F08_P11.rtf,88,,0.527673026
339,M31_P89.rtf,F08_P11.rtf,89,,0.427050929
340,M32_P90.rtf,F08_P11.rtf,90,,0.254555476
341,M33_P91.rtf,F08_P11.rtf,91,,0.133461134
342,M34_P92.rtf,F08_P11.rtf,92,,0.351201551
343,M35_P93.rtf,F08_P11.rtf,93,,0.094789974
344,M36_P94.rtf,F08_P11.rtf,94,,0.108950597
345,M37_P96.rtf,F08_P11.rtf,96,,0.054459697
346,M38_P97.rtf,F08_P11.rtf,97,,0.44195772
347,M39_P98.rtf,F08_P11.rtf,98,,0.148675987
348,M40_P99.rtf,F08_P11.rtf,99,,0.337245592
349,M41_P101.rtf,F08_P11.rtf,101,,0.403482082
350,M42_P103.rtf,F08_P11.rtf,103,,0.291684033
351,M43_P104.rtf,F08_P11.rtf,104,,0.367447484
352,M44_P105.rtf,F08_P11.rtf,105,,-0.120810052
353,M01_P2.rtf,F09_P13.rtf,2,,0.05753343
354,M02_P7.rtf,F09_P13.rtf,7,,0.202341401
355,M03_P12.rtf,F09_P13.rtf,12,,0.671989546
356,M04_P15.rtf,F09_P13.rtf,15,,0.145419711
357,M05_P21.rtf,F09_P13.rtf,21,,0.023353901
358,M06_P24.rtf,F09_P13.rtf,24,,0.083134587
359,M07_P25.rtf,F09_P13.rtf,25,,0.643020442
360,M08_P30.rtf,F09_P13.rtf,30,,0.041939533
361,M09_P33.rtf,F09_P13.rtf,33,,0.294281616
362,M10_P34.rtf,F09_P13.rtf,34,,0.39829132
363,M11_P35.rtf,F09_P13.rtf,35,,0.647284401
364,M12_P37.rtf,F09_P13.rtf,37,,0.564338176
365,M13_P38.rtf,F09_P13.rtf,38,,0.141160976
366,M14_P50.rtf,F09_P13.rtf,50,,0.376500053
367,M15_P58.rtf,F09_P13.rtf,58,,0.131089499
368,M16_P66.rtf,F09_P13.rtf,66,,0.64512879
369,M17_P73.rtf,F09_P13.rtf,73,,0.380299551
370,M18_P74.rtf,F09_P13.rtf,74,,0.351352025
371,M19_P76.rtf,F09_P13.rtf,76,,0.153969572
372,M20_P77.rtf,F09_P13.rtf,77,,0.048967614
373,M21_P78.rtf,F09_P13.rtf,78,,0.112288946
374,M22_P79.rtf,F09_P13.rtf,79,,0.125046469
375,M23_P80.rtf,F09_P13.rtf,80,,0.305857552
376,M24_P81.rtf,F09_P13.rtf,81,,0.166640322
377,M25_P82.rtf,F09_P13.rtf,82,,0.447294625
378,M26_P83.rtf,F09_P13.rtf,83,,0.254708608
379,M27_P84.rtf,F09_P13.rtf,84,,0.499159362
380,M28_P86.rtf,F09_P13.rtf,86,,0.215948181
381,M29_P87.rtf,F09_P13.rtf,87,,-0.036535544
382,M30_P88.rtf,F09_P13.rtf,88,,0.44914949
383,M31_P89.rtf,F09_P13.rtf,89,,0.482287293
384,M32_P90.rtf,F09_P13.rtf,90,,0.414444557
385,M33_P91.rtf,F09_P13.rtf,91,,0.356728537
386,M34_P92.rtf,F09_P13.rtf,92,,0.121289172
387,M35_P93.rtf,F09_P13.rtf,93,,0.093064551
388,M36_P94.rtf,F09_P13.rtf,94,,0.137799049
389,M37_P96.rtf,F09_P13.rtf,96,,0.249638024
390,M38_P97.rtf,F09_P13.rtf,97,,0.641034731
391,M39_P98.rtf,F09_P13.rtf,98,,0.345736825
392,M40_P99.rtf,F09_P13.rtf,99,,0.239604813
393,M41_P101.rtf,F09_P13.rtf,101,,0.427374267
394,M42_P103.rtf,F09_P13.rtf,103,,0.186005281
395,M43_P104.rtf,F09_P13.rtf,104,,0.179907288
396,M44_P105.rtf,F09_P13.rtf,105,,0.094738192
397,M01_P2.rtf,F10_P14.rtf,2,,0.310987073
398,M02_P7.rtf,F10_P14.rtf,7,,0.141516935
399,M03_P12.rtf,F10_P14.rtf,12,,0.437511553
400,M04_P15.rtf,F10_P14.rtf,15,,0.241825697
401,M05_P21.rtf,F10_P14.rtf,21,,0.121402095
402,M06_P24.rtf,F10_P14.rtf,24,,-0.005222995
403,M07_P25.rtf,F10_P14.rtf,25,,0.508105551
404,M08_P30.rtf,F10_P14.rtf,30,,0.266065741
405,M09_P33.rtf,F10_P14.rtf,33,,0.316646134
406,M10_P34.rtf,F10_P14.rtf,34,,0.547260036
407,M11_P35.rtf,F10_P14.rtf,35,,0.462708719
408,M12_P37.rtf,F10_P14.rtf,37,,0.347271529
409,M13_P38.rtf,F10_P14.rtf,38,,0.060001558
410,M14_P50.rtf,F10_P14.rtf,50,,0.295202786
411,M15_P58.rtf,F10_P14.rtf,58,,0.157994627
412,M16_P66.rtf,F10_P14.rtf,66,,0.48357311
413,M17_P73.rtf,F10_P14.rtf,73,,0.53271524
414,M18_P74.rtf,F10_P14.rtf,74,,0.242050223
415,M19_P76.rtf,F10_P14.rtf,76,,-0.010529318
416,M20_P77.rtf,F10_P14.rtf,77,,0.05474937
417,M21_P78.rtf,F10_P14.rtf,78,,0.477383728
418,M22_P79.rtf,F10_P14.rtf,79,,-0.057785617
419,M23_P80.rtf,F10_P14.rtf,80,,0.141678922
420,M24_P81.rtf,F10_P14.rtf,81,,0.252801057
421,M25_P82.rtf,F10_P14.rtf,82,,0.470073232
422,M26_P83.rtf,F10_P14.rtf,83,,0.44538912
423,M27_P84.rtf,F10_P14.rtf,84,,0.463421089
424,M28_P86.rtf,F10_P14.rtf,86,,0.035450227
425,M29_P87.rtf,F10_P14.rtf,87,,0.091055644
426,M30_P88.rtf,F10_P14.rtf,88,,0.388263909
427,M31_P89.rtf,F10_P14.rtf,89,,0.441896164
428,M32_P90.rtf,F10_P14.rtf,90,,0.350021979
429,M33_P91.rtf,F10_P14.rtf,91,,0.11613803
430,M34_P92.rtf,F10_P14.rtf,92,,0.1964513
431,M35_P93.rtf,F10_P14.rtf,93,,0.155876712
432,M36_P94.rtf,F10_P14.rtf,94,,0.376485289
433,M37_P96.rtf,F10_P14.rtf,96,,0.016815614
434,M38_P97.rtf,F10_P14.rtf,97,,0.358875639
435,M39_P98.rtf,F10_P14.rtf,98,,0.126271355
436,M40_P99.rtf,F10_P14.rtf,99,,0.35290202
437,M41_P101.rtf,F10_P14.rtf,101,,0.483115422
438,M42_P103.rtf,F10_P14.rtf,103,,0.181624452
439,M43_P104.rtf,F10_P14.rtf,104,,0.162148453
440,M44_P105.rtf,F10_P14.rtf,105,,-0.106663329
