,M-File,F-File,M-Part,F-Part,Cosine
1,M01_P2.rtf,F01_P1.rtf,2,1,-0.010249519
2,M02_P7.rtf,F01_P1.rtf,7,1,0.050814993
3,M03_P12.rtf,F01_P1.rtf,12,1,0.605681644
4,M04_P15.rtf,F01_P1.rtf,15,1,0.166465651
5,M05_P21.rtf,F01_P1.rtf,21,1,0.096039262
6,M06_P24.rtf,F01_P1.rtf,24,1,0.248986735
7,M07_P25.rtf,F01_P1.rtf,25,1,0.203423802
8,M08_P30.rtf,F01_P1.rtf,30,1,0.054048743
9,M09_P33.rtf,F01_P1.rtf,33,1,0.126316382
10,M10_P34.rtf,F01_P1.rtf,34,1,0.212332112
11,M11_P35.rtf,F01_P1.rtf,35,1,0.074917493
12,M12_P37.rtf,F01_P1.rtf,37,1,0.457634045
13,M13_P38.rtf,F01_P1.rtf,38,1,-0.011577568
14,M14_P50.rtf,F01_P1.rtf,50,1,0.093816467
15,M15_P58.rtf,F01_P1.rtf,58,1,-0.011168915
16,M16_P66.rtf,F01_P1.rtf,66,1,0.616192714
17,M17_P73.rtf,F01_P1.rtf,73,1,0.195863679
18,M18_P74.rtf,F01_P1.rtf,74,1,0.259703978
19,M19_P76.rtf,F01_P1.rtf,76,1,0.051341155
20,M20_P77.rtf,F01_P1.rtf,77,1,0.144826255
21,M21_P78.rtf,F01_P1.rtf,78,1,-0.137941869
22,M22_P79.rtf,F01_P1.rtf,79,1,0.044731276
23,M23_P80.rtf,F01_P1.rtf,80,1,0.294378629
24,M24_P81.rtf,F01_P1.rtf,81,1,0.038080319
25,M25_P82.rtf,F01_P1.rtf,82,1,0.055060091
26,M26_P83.rtf,F01_P1.rtf,83,1,0.227340514
27,M27_P84.rtf,F01_P1.rtf,84,1,0.179117695
28,M28_P86.rtf,F01_P1.rtf,86,1,0.107239878
29,M29_P87.rtf,F01_P1.rtf,87,1,-0.025657226
30,M30_P88.rtf,F01_P1.rtf,88,1,0.014022026
31,M31_P89.rtf,F01_P1.rtf,89,1,0.427535792
32,M32_P90.rtf,F01_P1.rtf,90,1,0.500798645
33,M33_P91.rtf,F01_P1.rtf,91,1,0.340705272
34,M34_P92.rtf,F01_P1.rtf,92,1,0.156072507
35,M35_P93.rtf,F01_P1.rtf,93,1,0.035397684
36,M36_P94.rtf,F01_P1.rtf,94,1,0.040058904
37,M37_P96.rtf,F01_P1.rtf,96,1,0.11481957
38,M38_P97.rtf,F01_P1.rtf,97,1,0.657516482
39,M39_P98.rtf,F01_P1.rtf,98,1,0.072929391
40,M40_P99.rtf,F01_P1.rtf,99,1,-0.007048006
41,M41_P101.rtf,F01_P1.rtf,101,1,0.046606534
42,M42_P103.rtf,F01_P1.rtf,103,1,-0.044781385
43,M43_P104.rtf,F01_P1.rtf,104,1,-0.042003788
44,M44_P105.rtf,F01_P1.rtf,105,1,0.056933106
45,M01_P2.rtf,F02_P3.rtf,2,3,0.039494011
46,M02_P7.rtf,F02_P3.rtf,7,3,0.025528314
47,M03_P12.rtf,F02_P3.rtf,12,3,0.083935595
48,M04_P15.rtf,F02_P3.rtf,15,3,-0.01154922
49,M05_P21.rtf,F02_P3.rtf,21,3,0.047855721
50,M06_P24.rtf,F02_P3.rtf,24,3,0.049069289
51,M07_P25.rtf,F02_P3.rtf,25,3,0.178964801
52,M08_P30.rtf,F02_P3.rtf,30,3,0.107988477
53,M09_P33.rtf,F02_P3.rtf,33,3,-0.067823091
54,M10_P34.rtf,F02_P3.rtf,34,3,0.051110003
55,M11_P35.rtf,F02_P3.rtf,35,3,0.302893232
56,M12_P37.rtf,F02_P3.rtf,37,3,0.080619613
57,M13_P38.rtf,F02_P3.rtf,38,3,0.039145825
58,M14_P50.rtf,F02_P3.rtf,50,3,0.191183866
59,M15_P58.rtf,F02_P3.rtf,58,3,0.067951975
60,M16_P66.rtf,F02_P3.rtf,66,3,0.17050897
61,M17_P73.rtf,F02_P3.rtf,73,3,0.158223451
62,M18_P74.rtf,F02_P3.rtf,74,3,0.018042048
63,M19_P76.rtf,F02_P3.rtf,76,3,0.058837351
64,M20_P77.rtf,F02_P3.rtf,77,3,0.023988
65,M21_P78.rtf,F02_P3.rtf,78,3,0.124098763
66,M22_P79.rtf,F02_P3.rtf,79,3,0.096734048
67,M23_P80.rtf,F02_P3.rtf,80,3,0.249940899
68,M24_P81.rtf,F02_P3.rtf,81,3,0.04703977
69,M25_P82.rtf,F02_P3.rtf,82,3,0.00542114
70,M26_P83.rtf,F02_P3.rtf,83,3,0.189374152
71,M27_P84.rtf,F02_P3.rtf,84,3,0.172029363
72,M28_P86.rtf,F02_P3.rtf,86,3,0.022424079
73,M29_P87.rtf,F02_P3.rtf,87,3,0.045377009
74,M30_P88.rtf,F02_P3.rtf,88,3,0.335907328
75,M31_P89.rtf,F02_P3.rtf,89,3,0.236402551
76,M32_P90.rtf,F02_P3.rtf,90,3,0.000517543
77,M33_P91.rtf,F02_P3.rtf,91,3,-0.072133049
78,M34_P92.rtf,F02_P3.rtf,92,3,-0.027006742
79,M35_P93.rtf,F02_P3.rtf,93,3,0.017150837
80,M36_P94.rtf,F02_P3.rtf,94,3,0.011008269
81,M37_P96.rtf,F02_P3.rtf,96,3,0.079170616
82,M38_P97.rtf,F02_P3.rtf,97,3,0.147519393
83,M39_P98.rtf,F02_P3.rtf,98,3,-0.026654075
84,M40_P99.rtf,F02_P3.rtf,99,3,-0.021640464
85,M41_P101.rtf,F02_P3.rtf,101,3,0.18235345
86,M42_P103.rtf,F02_P3.rtf,103,3,0.032873989
87,M43_P104.rtf,F02_P3.rtf,104,3,0.029973986
88,M44_P105.rtf,F02_P3.rtf,105,3,0.069091483
89,M01_P2.rtf,F03_P4.rtf,2,4,-0.043019706
90,M02_P7.rtf,F03_P4.rtf,7,4,0.110479829
91,M03_P12.rtf,F03_P4.rtf,12,4,0.384360995
92,M04_P15.rtf,F03_P4.rtf,15,4,0.25378877
93,M05_P21.rtf,F03_P4.rtf,21,4,0.030430733
94,M06_P24.rtf,F03_P4.rtf,24,4,0.00411818
95,M07_P25.rtf,F03_P4.rtf,25,4,0.38135926
96,M08_P30.rtf,F03_P4.rtf,30,4,-0.061616486
97,M09_P33.rtf,F03_P4.rtf,33,4,0.260937796
98,M10_P34.rtf,F03_P4.rtf,34,4,0.035013161
99,M11_P35.rtf,F03_P4.rtf,35,4,0.311403438
100,M12_P37.rtf,F03_P4.rtf,37,4,0.425157722
101,M13_P38.rtf,F03_P4.rtf,38,4,0.123742796
102,M14_P50.rtf,F03_P4.rtf,50,4,0.21596484
103,M15_P58.rtf,F03_P4.rtf,58,4,0.042607778
104,M16_P66.rtf,F03_P4.rtf,66,4,0.36214039
105,M17_P73.rtf,F03_P4.rtf,73,4,0.091310384
106,M18_P74.rtf,F03_P4.rtf,74,4,0.193167629
107,M19_P76.rtf,F03_P4.rtf,76,4,0.092503727
108,M20_P77.rtf,F03_P4.rtf,77,4,0.080784768
109,M21_P78.rtf,F03_P4.rtf,78,4,0.114912799
110,M22_P79.rtf,F03_P4.rtf,79,4,0.002876074
111,M23_P80.rtf,F03_P4.rtf,80,4,0.101896041
112,M24_P81.rtf,F03_P4.rtf,81,4,-0.015768786
113,M25_P82.rtf,F03_P4.rtf,82,4,0.41486787
114,M26_P83.rtf,F03_P4.rtf,83,4,0.31366614
115,M27_P84.rtf,F03_P4.rtf,84,4,0.36045468
116,M28_P86.rtf,F03_P4.rtf,86,4,0.074477701
117,M29_P87.rtf,F03_P4.rtf,87,4,0.154128055
118,M30_P88.rtf,F03_P4.rtf,88,4,0.00560996
119,M31_P89.rtf,F03_P4.rtf,89,4,0.424364007
120,M32_P90.rtf,F03_P4.rtf,90,4,-0.030897124
121,M33_P91.rtf,F03_P4.rtf,91,4,0.1235073
122,M34_P92.rtf,F03_P4.rtf,92,4,0.313535436
123,M35_P93.rtf,F03_P4.rtf,93,4,0.107687553
124,M36_P94.rtf,F03_P4.rtf,94,4,0.205241845
125,M37_P96.rtf,F03_P4.rtf,96,4,-0.035774598
126,M38_P97.rtf,F03_P4.rtf,97,4,0.379817944
127,M39_P98.rtf,F03_P4.rtf,98,4,0.098680742
128,M40_P99.rtf,F03_P4.rtf,99,4,0.097499484
129,M41_P101.rtf,F03_P4.rtf,101,4,0.337964906
130,M42_P103.rtf,F03_P4.rtf,103,4,-0.007632783
131,M43_P104.rtf,F03_P4.rtf,104,4,0.167827712
132,M44_P105.rtf,F03_P4.rtf,105,4,0.126998065
133,M01_P2.rtf,F04_P5.rtf,2,5,0.236013575
134,M02_P7.rtf,F04_P5.rtf,7,5,0.068748073
135,M03_P12.rtf,F04_P5.rtf,12,5,0.383336369
136,M04_P15.rtf,F04_P5.rtf,15,5,0.020241466
137,M05_P21.rtf,F04_P5.rtf,21,5,0.072650157
138,M06_P24.rtf,F04_P5.rtf,24,5,0.105794051
139,M07_P25.rtf,F04_P5.rtf,25,5,0.337171136
140,M08_P30.rtf,F04_P5.rtf,30,5,0.131815171
141,M09_P33.rtf,F04_P5.rtf,33,5,0.208842293
142,M10_P34.rtf,F04_P5.rtf,34,5,0.266721597
143,M11_P35.rtf,F04_P5.rtf,35,5,0.367998547
144,M12_P37.rtf,F04_P5.rtf,37,5,0.246743955
145,M13_P38.rtf,F04_P5.rtf,38,5,0.071153371
146,M14_P50.rtf,F04_P5.rtf,50,5,0.457458149
147,M15_P58.rtf,F04_P5.rtf,58,5,0.196398783
148,M16_P66.rtf,F04_P5.rtf,66,5,0.432918997
149,M17_P73.rtf,F04_P5.rtf,73,5,0.240292031
150,M18_P74.rtf,F04_P5.rtf,74,5,0.265367314
151,M19_P76.rtf,F04_P5.rtf,76,5,0.057065027
152,M20_P77.rtf,F04_P5.rtf,77,5,0.041079969
153,M21_P78.rtf,F04_P5.rtf,78,5,0.218627653
154,M22_P79.rtf,F04_P5.rtf,79,5,0.182045384
155,M23_P80.rtf,F04_P5.rtf,80,5,0.277261311
156,M24_P81.rtf,F04_P5.rtf,81,5,0.182643588
157,M25_P82.rtf,F04_P5.rtf,82,5,0.16703678
158,M26_P83.rtf,F04_P5.rtf,83,5,0.340729258
159,M27_P84.rtf,F04_P5.rtf,84,5,0.393878258
160,M28_P86.rtf,F04_P5.rtf,86,5,0.153015828
161,M29_P87.rtf,F04_P5.rtf,87,5,-0.005348972
162,M30_P88.rtf,F04_P5.rtf,88,5,0.040006926
163,M31_P89.rtf,F04_P5.rtf,89,5,0.339832588
164,M32_P90.rtf,F04_P5.rtf,90,5,0.18539314
165,M33_P91.rtf,F04_P5.rtf,91,5,0.569484605
166,M34_P92.rtf,F04_P5.rtf,92,5,0.300826668
167,M35_P93.rtf,F04_P5.rtf,93,5,0.044790056
168,M36_P94.rtf,F04_P5.rtf,94,5,0.28623792
169,M37_P96.rtf,F04_P5.rtf,96,5,0.045037654
170,M38_P97.rtf,F04_P5.rtf,97,5,0.63502367
171,M39_P98.rtf,F04_P5.rtf,98,5,0.116997772
172,M40_P99.rtf,F04_P5.rtf,99,5,0.229496349
173,M41_P101.rtf,F04_P5.rtf,101,5,0.492212618
174,M42_P103.rtf,F04_P5.rtf,103,5,0.121756987
175,M43_P104.rtf,F04_P5.rtf,104,5,0.273091911
176,M44_P105.rtf,F04_P5.rtf,105,5,0.176218151
177,M01_P2.rtf,F05_P6.rtf,2,6,-0.010594486
178,M02_P7.rtf,F05_P6.rtf,7,6,0.124260212
179,M03_P12.rtf,F05_P6.rtf,12,6,0.145775799
180,M04_P15.rtf,F05_P6.rtf,15,6,0.094770387
181,M05_P21.rtf,F05_P6.rtf,21,6,0.059153578
182,M06_P24.rtf,F05_P6.rtf,24,6,0.103457049
183,M07_P25.rtf,F05_P6.rtf,25,6,0.37648299
184,M08_P30.rtf,F05_P6.rtf,30,6,0.004892549
185,M09_P33.rtf,F05_P6.rtf,33,6,-0.043604745
186,M10_P34.rtf,F05_P6.rtf,34,6,0.305864755
187,M11_P35.rtf,F05_P6.rtf,35,6,0.174929859
188,M12_P37.rtf,F05_P6.rtf,37,6,-0.136924433
189,M13_P38.rtf,F05_P6.rtf,38,6,0.097904887
190,M14_P50.rtf,F05_P6.rtf,50,6,0.224715822
191,M15_P58.rtf,F05_P6.rtf,58,6,0.056368037
192,M16_P66.rtf,F05_P6.rtf,66,6,0.228831362
193,M17_P73.rtf,F05_P6.rtf,73,6,0.217649934
194,M18_P74.rtf,F05_P6.rtf,74,6,-0.040448129
195,M19_P76.rtf,F05_P6.rtf,76,6,0.071781076
196,M20_P77.rtf,F05_P6.rtf,77,6,0.071041446
197,M21_P78.rtf,F05_P6.rtf,78,6,0.008199828
198,M22_P79.rtf,F05_P6.rtf,79,6,0.119579339
199,M23_P80.rtf,F05_P6.rtf,80,6,0.254875685
200,M24_P81.rtf,F05_P6.rtf,81,6,0.100165508
201,M25_P82.rtf,F05_P6.rtf,82,6,0.22590689
202,M26_P83.rtf,F05_P6.rtf,83,6,0.302760813
203,M27_P84.rtf,F05_P6.rtf,84,6,0.162243026
204,M28_P86.rtf,F05_P6.rtf,86,6,0.008270833
205,M29_P87.rtf,F05_P6.rtf,87,6,0.173723296
206,M30_P88.rtf,F05_P6.rtf,88,6,0.253430636
207,M31_P89.rtf,F05_P6.rtf,89,6,0.373790431
